result_id,phase,dataset,metric_name,value,ci_lo,ci_hi,ci_method,p_value,n_seeds,n_providers,n_boot,n_evaluations,source_file,w_issues_resolved,run_id,locked,note
R01,Phase3,Cimas,Delta_AUROC_NI,-0.00214,-0.00503,0.00077,bootstrap_n2000,,5.0,23.0,2000.0,,processed/cimas/results_phase3_freeze/ni_client_level.csv,W03b,phase3_freeze,True,NI LCB=-0.00452 > -0.02: NONINFERIOR
R02,Phase3,Cimas,Delta_AUROC_NI,-0.00223,-0.00514,0.0007,bootstrap_n2000,,5.0,23.0,2000.0,,processed/cimas/results_phase3_freeze/ni_client_level.csv,W03b,phase3_freeze,True,NI LCB=-0.00467 > -0.02: NONINFERIOR
R03,Phase3,Cimas,Delta_AUROC_NI,-0.00147,-0.00447,0.00142,bootstrap_n2000,,5.0,23.0,2000.0,,processed/cimas/results_phase3_freeze/ni_client_level.csv,W03b,phase3_freeze,True,NI LCB=-0.00400 > -0.02: NONINFERIOR
R04,Phase3,Cimas,Delta_AUROC_NI,-0.00144,-0.0044,0.00144,bootstrap_n2000,,5.0,23.0,2000.0,,processed/cimas/results_phase3_freeze/ni_client_level.csv,W03b,phase3_freeze,True,NI LCB=-0.00396 > -0.02: NONINFERIOR
R05,Phase3,Cimas,Delta_AUROC_NI,-0.00514,-0.0105,4e-05,bootstrap_n2000,,5.0,23.0,2000.0,,processed/cimas/results_phase3_freeze/ni_client_level.csv,W03b,phase3_freeze,True,NI LCB=-0.00951 > -0.02: NONINFERIOR
R06,Phase3,Cimas_longtail,AUROC_longtail,0.807,0.785,0.829,reported_95ci_from_source,,,264.0,2000.0,3716.0,processed/cimas/results_phase3_freeze/longtail_corrected.csv,W02c,phase3_freeze,True,"Central long-tail AUROC; n_patients=3716, n_providers=264"
R07,Phase3,Cimas_longtail,AUROC_longtail,0.803,0.781,0.826,reported_95ci_from_source,,,264.0,2000.0,3716.0,processed/cimas/results_phase3_freeze/longtail_corrected.csv,W02c,phase3_freeze,True,"FedAvg long-tail AUROC; n_patients=3716, n_providers=264"
R08,Phase4,BETTER-BP,DR_value_no_incentive,0.81509,,,none,,5.0,2.0,2000.0,,processed/better_bp/results_phase4/policy_values.csv,W04A,phase4,True,Budget B=0.6667
R09,Phase4,BETTER-BP,DR_value_random_budget,0.8603,,,none,,5.0,2.0,2000.0,,processed/better_bp/results_phase4/policy_values.csv,W04A,phase4,True,Budget B=0.6667
R10,Phase4,BETTER-BP,DR_value_risk_targeting,0.88503,,,none,,5.0,2.0,2000.0,,processed/better_bp/results_phase4/policy_values.csv,W04A,phase4,True,Budget B=0.6667
