budget,policy,dr_value,treat_rate,n_treated,incr_attend_per100
0.25,no_incentive,0.815089,0.0,0,0.0
0.25,incentive_all,0.882909,1.0,402,6.78
0.25,random_budget,0.832044,0.25,100,1.7
0.25,risk_targeting,0.840095,0.2488,100,2.5
0.25,uplift_targeting,0.792654,0.2488,100,-2.24
0.25,fairness_constrained_uplift,0.775383,0.2488,100,-3.97
0.5,no_incentive,0.815089,0.0,0,0.0
0.5,incentive_all,0.882909,1.0,402,6.78
0.5,random_budget,0.848999,0.5,201,3.39
0.5,risk_targeting,0.888157,0.5,201,7.31
0.5,uplift_targeting,0.866466,0.5,201,5.14
0.5,fairness_constrained_uplift,0.866466,0.5,201,5.14
0.6667,no_incentive,0.815089,0.0,0,0.0
0.6667,incentive_all,0.882909,1.0,402,6.78
0.6667,random_budget,0.860304,0.6667,268,4.52
0.6667,risk_targeting,0.88503,0.6667,268,6.99
0.6667,uplift_targeting,0.891863,0.6667,268,7.68
0.6667,fairness_constrained_uplift,0.891863,0.6667,268,7.68
