dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,auroc_clean,auroc_degradation,aggregator_effective,run_status
eicu,none,0,0.0,fedavg,True,7,0.89052,0.48929,0.80952,0.29571,0.8812307142857144,,0,0.271,976,0.89052,0.0,fedavg,valid_primary
eicu,none,0,0.0,fedavg,True,11,0.88994,0.48262,0.80848,0.29413,0.8796935714285715,,0,0.27,976,0.88994,0.0,fedavg,valid_primary
eicu,none,0,0.0,fedavg,True,19,0.89102,0.48383,0.80952,0.29571,0.8816789285714285,,0,0.271,976,0.89102,0.0,fedavg,valid_primary
eicu,none,0,0.0,fedavg,True,23,0.88835,0.47443,0.80848,0.29413,0.8766903571428571,,0,0.286,976,0.88835,0.0,fedavg,valid_primary
eicu,none,0,0.0,fedavg,True,37,0.89203,0.49591,0.80848,0.29413,0.8839792857142857,,0,0.284,976,0.89203,0.0,fedavg,valid_primary
eicu,none,0,0.0,coord_median,True,7,0.89253,0.5049,0.80639,0.291,0.8818464285714286,,0,0.27,976,0.89253,0.0,coord_median,valid_primary
eicu,none,0,0.0,coord_median,True,11,0.89177,0.50085,0.80534,0.28946,0.8807310714285713,,0,0.27,976,0.89177,0.0,coord_median,valid_primary
eicu,none,0,0.0,coord_median,True,19,0.89244,0.50319,0.80534,0.28946,0.8821939285714285,,0,0.283,976,0.89244,0.0,coord_median,valid_primary
eicu,none,0,0.0,coord_median,True,23,0.88902,0.48893,0.80848,0.29413,0.8766292857142857,,0,0.283,976,0.88902,0.0,coord_median,valid_primary
eicu,none,0,0.0,coord_median,True,37,0.89328,0.50817,0.80848,0.29413,0.8850589285714284,,0,0.287,976,0.89328,0.0,coord_median,valid_primary
eicu,none,0,0.0,trimmed_mean,True,7,0.8937,0.50894,0.80848,0.29413,0.8836324999999999,,0,0.278,976,0.8937,0.0,trimmed_mean,valid_primary
eicu,none,0,0.0,trimmed_mean,True,11,0.89395,0.50632,0.80848,0.29413,0.882544285714286,,0,0.291,976,0.89395,0.0,trimmed_mean,valid_primary
eicu,none,0,0.0,trimmed_mean,True,19,0.8947,0.50412,0.80639,0.291,0.8840860714285715,,0,0.296,976,0.8947,0.0,trimmed_mean,valid_primary
eicu,none,0,0.0,trimmed_mean,True,23,0.89194,0.49921,0.81056,0.2973,0.8793642857142857,,0,0.283,976,0.89194,0.0,trimmed_mean,valid_primary
eicu,none,0,0.0,trimmed_mean,True,37,0.89578,0.51424,0.81056,0.2973,0.8869432142857142,,0,0.275,976,0.89578,0.0,trimmed_mean,valid_primary
eicu,none,0,0.0,krum,True,7,0.89704,0.5156,0.80743,0.29256,0.8804771428571428,,0,0.274,976,0.89704,0.0,krum,valid_primary
eicu,none,0,0.0,krum,True,11,0.87357,0.44971,0.78848,0.2756,0.8628324999999999,,0,0.297,976,0.87357,0.0,krum,valid_primary
eicu,none,0,0.0,krum,True,19,0.88676,0.52375,0.79595,0.27609,0.8812978571428571,,0,0.291,976,0.88676,0.0,krum,valid_primary
eicu,none,0,0.0,krum,True,23,0.87232,0.44917,0.81161,0.29891,0.8616282142857142,,0,0.293,976,0.87232,0.0,krum,valid_primary
eicu,none,0,0.0,krum,True,37,0.88935,0.52176,0.80013,0.28192,0.8876107142857143,,0,0.292,976,0.88935,0.0,krum,valid_primary
eicu,none,0,0.0,clipping,True,7,0.89052,0.48929,0.80952,0.29571,0.8812307142857144,,0,0.277,976,0.89052,0.0,clipping,valid_primary
eicu,none,0,0.0,clipping,True,11,0.88994,0.48262,0.80848,0.29413,0.8796935714285715,,0,0.285,976,0.88994,0.0,clipping,valid_primary
eicu,none,0,0.0,clipping,True,19,0.89102,0.48383,0.80952,0.29571,0.8816789285714285,,0,0.278,976,0.89102,0.0,clipping,valid_primary
eicu,none,0,0.0,clipping,True,23,0.88835,0.47443,0.80848,0.29413,0.8766903571428571,,0,0.275,976,0.88835,0.0,clipping,valid_primary
eicu,none,0,0.0,clipping,True,37,0.89203,0.49591,0.80848,0.29413,0.8839792857142857,,0,0.266,976,0.89203,0.0,clipping,valid_primary
eicu,random_gauss,1,12.5,fedavg,True,7,0.87207,0.44301,0.79804,0.27898,0.8500439285714287,,0,0.289,976,0.89052,-0.0184499999999999,fedavg,valid_primary
eicu,random_gauss,1,12.5,fedavg,True,11,0.89954,0.45978,0.80969,0.2857,0.8829289285714285,,0,0.287,976,0.88994,0.0096,fedavg,valid_primary
eicu,random_gauss,1,12.5,fedavg,True,19,0.87349,0.40446,0.78969,0.26766,0.8392425000000001,,0,0.284,976,0.89102,-0.01753,fedavg,valid_primary
eicu,random_gauss,1,12.5,fedavg,True,23,0.85645,0.42344,0.74255,0.21711,0.8527560714285715,,0,0.275,976,0.88835,-0.0318999999999999,fedavg,valid_primary
eicu,random_gauss,1,12.5,fedavg,True,37,0.84735,0.3268,0.77683,0.26958,0.808264642857143,,0,0.269,976,0.89203,-0.0446799999999999,fedavg,valid_primary
eicu,random_gauss,1,12.5,coord_median,True,7,0.8967,0.5096,0.81161,0.29891,0.8856885714285713,,0,0.269,976,0.89253,0.00417,coord_median,valid_primary
eicu,random_gauss,1,12.5,coord_median,True,11,0.8947,0.50013,0.81161,0.29891,0.8822685714285713,,0,0.27,976,0.89177,0.00293,coord_median,valid_primary
eicu,random_gauss,1,12.5,coord_median,True,19,0.89436,0.51315,0.81056,0.2973,0.8848521428571429,,0,0.276,976,0.89244,0.00192,coord_median,valid_primary
eicu,random_gauss,1,12.5,coord_median,True,23,0.89052,0.51069,0.81474,0.30382,0.8792278571428571,,0,0.269,976,0.88902,0.0014999999999999,coord_median,valid_primary
eicu,random_gauss,1,12.5,coord_median,True,37,0.89161,0.5029,0.80952,0.29571,0.8830303571428572,,0,0.277,976,0.89328,-0.0016699999999999,coord_median,valid_primary
eicu,random_gauss,1,12.5,trimmed_mean,True,7,0.89628,0.50628,0.81578,0.30549,0.8850957142857142,,0,0.267,976,0.8937,0.0025799999999999,trimmed_mean,valid_primary
eicu,random_gauss,1,12.5,trimmed_mean,True,11,0.89177,0.48638,0.80639,0.291,0.8813414285714286,,0,0.265,976,0.89395,-0.00218,trimmed_mean,valid_primary
