hospital_group,fl_round,batch_size,alpha,cos_sim,rmse,mae,label_recovery,outcome_class
0,1,1,0.0,1.0,0.96992,0.43417,0,0
0,1,1,0.01,0.99772,0.75153,0.4554,0,0
0,1,1,0.05,0.94253,0.66797,0.35569,0,0
0,1,1,0.1,0.83045,0.86778,0.61473,0,0
0,1,1,0.2,0.56649,0.95126,0.687,0,0
0,1,4,0.0,0.8391,0.60115,0.4106,0,0
0,1,4,0.01,0.57055,1.86398,1.09915,0,0
0,1,4,0.05,0.48254,0.92496,0.68,0,0
0,1,4,0.1,0.47595,1.12027,0.82907,0,0
0,1,4,0.2,0.26979,1.63355,1.28829,0,0
0,1,16,0.0,-0.05532,1.84966,1.45993,0,0
0,1,16,0.01,0.03871,4.69123,2.41677,0,0
0,1,16,0.05,0.51867,4.92471,3.27226,0,0
0,1,16,0.1,0.13781,3.74037,2.82098,0,0
0,1,16,0.2,0.17357,5.70746,4.46602,0,0
0,1,32,0.0,-0.24185,9.86737,6.55272,0,0
0,1,32,0.01,-0.12823,9.14192,5.06168,0,0
0,1,32,0.05,0.02051,10.1322,6.16642,0,0
0,1,32,0.1,-0.81561,11.11194,8.86583,1,1
0,1,32,0.2,0.20119,14.58964,11.82341,0,0
0,4,1,0.0,1.0,0.79958,0.4503,0,0
0,4,1,0.01,0.99623,0.281,0.18015,0,0
0,4,1,0.05,0.93657,0.55088,0.38448,0,0
0,4,1,0.1,0.61099,0.30587,0.23575,0,0
0,4,1,0.2,0.47649,0.61646,0.48044,0,0
0,4,4,0.0,0.07426,1.17581,0.79878,0,0
0,4,4,0.01,0.80278,0.62242,0.45722,0,0
0,4,4,0.05,0.60509,0.73845,0.56628,0,0
0,4,4,0.1,0.1355,1.21812,0.91196,0,0
0,4,4,0.2,0.07295,2.09663,1.6054,0,0
0,4,16,0.0,0.32714,4.82442,2.68335,0,0
0,4,16,0.01,0.40851,6.26086,3.60002,0,0
0,4,16,0.05,0.29319,2.56516,2.04332,0,0
0,4,16,0.1,-0.12304,4.70165,3.59215,0,0
0,4,16,0.2,-0.04152,6.90042,5.50811,0,0
0,4,32,0.0,0.41108,10.41221,6.86765,0,0
0,4,32,0.01,0.14463,10.03391,6.71806,0,0
0,4,32,0.05,0.34497,10.43235,7.77594,0,0
0,4,32,0.1,-0.18629,11.85014,9.00508,0,0
0,4,32,0.2,-0.20931,15.47493,12.43114,0,0
0,8,1,0.0,1.0,0.36775,0.22981,0,0
0,8,1,0.01,0.99598,0.74951,0.44388,0,0
0,8,1,0.05,0.81421,0.34069,0.23996,0,0
0,8,1,0.1,0.79467,0.55335,0.40383,0,0
0,8,1,0.2,0.26856,0.68807,0.55981,0,0
0,8,4,0.0,-0.79953,3.05129,1.46979,1,1
0,8,4,0.01,-0.09568,1.11767,0.72267,0,0
0,8,4,0.05,0.49741,1.09208,0.7709,0,0
0,8,4,0.1,0.59098,3.23842,1.6228,0,0
0,8,4,0.2,0.41717,2.72881,2.2066,0,0
0,8,16,0.0,0.66184,1.53117,1.13547,0,0
0,8,16,0.01,-0.23598,1.80565,1.46966,0,0
0,8,16,0.05,-0.22463,2.63364,2.17387,0,0
0,8,16,0.1,0.36546,5.98631,4.6602,0,0
0,8,16,0.2,-0.31899,8.46313,7.01707,0,0
0,8,32,0.0,0.03288,9.6198,6.37016,0,0
0,8,32,0.01,0.02803,6.07835,4.32697,0,0
0,8,32,0.05,-0.02082,5.00349,4.19006,0,0
0,8,32,0.1,-0.19337,10.9662,8.64449,0,0
0,8,32,0.2,-0.17463,18.87899,15.18297,0,0
0,12,1,0.0,1.0,0.70987,0.31776,0,0
0,12,1,0.01,0.99734,0.96009,0.46597,0,0
0,12,1,0.05,0.93694,0.35522,0.23105,0,0
0,12,1,0.1,0.79637,0.45811,0.34014,0,0
0,12,1,0.2,0.42266,0.51381,0.40244,0,0
0,12,4,0.0,0.87904,0.58223,0.40809,0,0
0,12,4,0.01,0.69525,0.61229,0.47004,0,0
0,12,4,0.05,0.58695,2.40635,1.73665,0,0
0,12,4,0.1,0.17885,1.42311,0.98833,0,0
0,12,4,0.2,0.19014,2.12366,1.77514,0,0
0,12,16,0.0,0.24749,3.50823,2.18953,0,0
0,12,16,0.01,0.38388,5.80055,3.73172,0,0
0,12,16,0.05,0.29637,5.75741,4.60525,0,0
0,12,16,0.1,0.24249,4.42937,3.53815,0,0
0,12,16,0.2,0.07921,7.31191,6.26374,0,0
0,12,32,0.0,-0.18908,7.61434,5.14148,0,0
0,12,32,0.01,0.12656,4.05581,2.88786,0,0
0,12,32,0.05,0.19885,7.52354,5.99719,0,0
0,12,32,0.1,0.22517,13.7951,10.84179,0,0
0,12,32,0.2,0.09906,16.56643,13.62355,0,0
0,15,1,0.0,1.0,0.61229,0.39125,0,0
0,15,1,0.01,0.99074,0.26905,0.17921,0,0
0,15,1,0.05,0.8568,0.32273,0.22866,0,0
0,15,1,0.1,0.72153,0.33904,0.269,0,0
0,15,1,0.2,0.3124,2.62726,2.20261,0,1
0,15,4,0.0,0.47534,0.78039,0.57148,0,0
0,15,4,0.01,0.5644,0.76905,0.56389,0,0
0,15,4,0.05,0.20583,1.34766,0.71287,0,0
0,15,4,0.1,0.75307,2.00815,1.44349,0,0
0,15,4,0.2,0.0629,1.95354,1.56223,0,0
0,15,16,0.0,0.14019,1.78776,1.33062,0,0
0,15,16,0.01,0.31075,2.42585,1.8942,0,0
0,15,16,0.05,0.39524,2.86667,2.4687,0,0
0,15,16,0.1,0.25955,5.05885,4.18415,0,0
0,15,16,0.2,0.19549,8.45695,7.18738,0,0
0,15,32,0.0,0.08305,5.55599,4.23574,0,0
0,15,32,0.01,0.42395,6.74789,5.1299,0,0
0,15,32,0.05,-0.05323,10.04509,7.03063,0,0
0,15,32,0.1,0.04768,12.80745,10.0422,0,0
0,15,32,0.2,0.10828,20.49916,15.86463,0,0
1,1,1,0.0,1.0,0.35248,0.23278,0,0
1,1,1,0.01,0.99645,0.84432,0.47764,0,0
1,1,1,0.05,0.93284,0.55856,0.3568,0,0
1,1,1,0.1,0.79619,0.35688,0.27349,0,0
1,1,1,0.2,0.60397,0.69066,0.53949,0,0
1,1,4,0.0,0.42288,0.75546,0.48538,0,0
1,1,4,0.01,0.22283,1.05286,0.66718,0,0
1,1,4,0.05,0.41533,0.9718,0.69558,0,0
1,1,4,0.1,0.50838,1.09006,0.86111,0,0
1,1,4,0.2,0.38944,1.76155,1.45344,0,0
1,1,16,0.0,0.14624,1.97322,1.39461,0,0
1,1,16,0.01,0.20428,4.66367,3.35572,0,0
1,1,16,0.05,0.55341,2.29859,1.82864,0,0
1,1,16,0.1,0.04112,4.28692,3.43897,0,0
1,1,16,0.2,0.01882,7.09514,5.86334,0,0
1,1,32,0.0,0.14902,8.68939,3.24729,0,0
1,1,32,0.01,0.1843,3.40661,2.64269,0,0
1,1,32,0.05,0.21484,9.77351,6.23933,0,0
1,1,32,0.1,-0.75576,12.23633,9.57033,1,1
1,1,32,0.2,-0.06605,18.89339,15.27978,0,0
1,4,1,0.0,1.0,0.33941,0.18789,0,0
1,4,1,0.01,0.99694,1.14304,0.38033,0,1
1,4,1,0.05,0.92362,0.71581,0.45621,0,0
1,4,1,0.1,0.72529,0.74601,0.48106,0,0
1,4,1,0.2,0.4672,0.47945,0.37498,0,0
1,4,4,0.0,0.26298,1.03686,0.69613,0,0
1,4,4,0.01,0.76776,0.68032,0.50111,0,0
1,4,4,0.05,0.68363,0.9867,0.695,0,0
1,4,4,0.1,0.17272,1.64322,1.20694,0,0
1,4,4,0.2,0.39167,2.15402,1.78807,0,0
1,4,16,0.0,0.32976,4.78053,2.73222,0,0
1,4,16,0.01,0.13554,2.23944,1.2959,0,0
1,4,16,0.05,0.24625,5.01492,3.27201,0,0
1,4,16,0.1,0.29574,6.17435,4.81287,0,0
1,4,16,0.2,0.1351,8.84249,7.28999,0,0
1,4,32,0.0,0.2605,8.74211,5.65679,0,0
1,4,32,0.01,0.47196,2.76635,2.16991,0,0
1,4,32,0.05,0.39608,4.52711,3.40786,0,0
1,4,32,0.1,0.12789,9.21883,7.35415,0,0
1,4,32,0.2,-0.07996,18.12584,14.02876,0,0
1,8,1,0.0,1.0,0.90898,0.33993,0,1
1,8,1,0.01,0.98999,0.20368,0.13806,0,0
1,8,1,0.05,0.74976,0.20107,0.15778,0,0
1,8,1,0.1,0.61991,0.38762,0.30501,0,0
1,8,1,0.2,0.44303,0.68263,0.55427,0,0
1,8,4,0.0,0.59246,0.54018,0.42247,0,0
1,8,4,0.01,0.04621,2.22138,1.50793,1,1
1,8,4,0.05,0.26733,0.86905,0.66809,0,0
1,8,4,0.1,0.08006,1.39833,1.02789,0,0
1,8,4,0.2,0.13321,2.38278,1.71224,0,0
1,8,16,0.0,-0.5292,2.6346,1.6452,0,0
1,8,16,0.01,0.34194,2.83397,1.83459,0,0
1,8,16,0.05,0.22768,2.91557,2.26624,0,0
1,8,16,0.1,0.4425,6.28371,4.70758,0,0
1,8,16,0.2,0.00738,12.37424,9.69873,0,0
1,8,32,0.0,-0.37509,10.7966,5.55698,0,0
1,8,32,0.01,0.00663,3.23559,2.15614,0,0
1,8,32,0.05,0.24759,9.80316,6.45433,0,0
1,8,32,0.1,-0.06517,10.22681,7.97315,0,0
1,8,32,0.2,0.17116,18.7397,14.74931,0,0
1,12,1,0.0,1.0,0.23904,0.15556,0,0
1,12,1,0.01,0.98898,0.2187,0.14685,0,0
1,12,1,0.05,0.6774,0.24017,0.18866,0,0
1,12,1,0.1,0.53885,0.50593,0.36996,0,0
1,12,1,0.2,0.20249,0.62013,0.51143,0,0
1,12,4,0.0,0.35908,0.70939,0.47869,0,0
1,12,4,0.01,0.91218,0.48349,0.3582,0,0
1,12,4,0.05,0.26225,0.97133,0.71274,0,0
1,12,4,0.1,0.32301,1.56004,1.18112,0,0
1,12,4,0.2,-0.00533,2.02718,1.61571,0,0
1,12,16,0.0,0.04597,6.00296,3.49989,0,0
1,12,16,0.01,-0.38313,5.23649,3.17972,0,0
1,12,16,0.05,-0.09793,3.97001,2.976,1,1
1,12,16,0.1,-0.11887,4.36726,3.56303,0,0
1,12,16,0.2,-0.09422,9.04644,7.15418,0,0
1,12,32,0.0,0.29623,10.43983,6.75326,0,0
1,12,32,0.01,0.22529,3.45624,2.66584,0,0
1,12,32,0.05,-0.60295,15.94039,10.72535,1,1
1,12,32,0.1,0.20323,13.18608,9.15677,0,0
1,12,32,0.2,0.04531,16.14809,12.85809,0,0
1,15,1,0.0,1.0,0.81578,0.30464,0,0
1,15,1,0.01,0.99785,1.31774,0.77813,0,0
1,15,1,0.05,0.78622,0.22824,0.18025,0,0
1,15,1,0.1,0.8845,0.75878,0.38047,0,0
1,15,1,0.2,0.49551,1.15809,0.691,0,0
1,15,4,0.0,0.65633,1.0234,0.64678,0,0
1,15,4,0.01,0.33203,2.56914,0.88659,0,0
1,15,4,0.05,0.14486,1.44955,0.90705,0,0
1,15,4,0.1,0.36591,1.43158,0.90867,0,0
1,15,4,0.2,0.06306,1.7736,1.40497,0,0
1,15,16,0.0,0.22224,2.60953,1.89611,0,0
1,15,16,0.01,0.26736,1.90356,1.43531,0,0
1,15,16,0.05,-0.14506,2.90243,2.12451,0,0
1,15,16,0.1,0.22953,4.45988,3.37303,0,0
1,15,16,0.2,-0.01225,6.9852,5.53623,0,0
1,15,32,0.0,-0.30675,10.46461,7.06391,0,0
1,15,32,0.01,0.11402,11.26015,3.86154,0,0
1,15,32,0.05,-0.01606,11.84432,6.71232,0,0
1,15,32,0.1,-0.0449,12.45631,8.83513,0,0
1,15,32,0.2,0.22772,16.6963,13.40827,0,0
2,1,1,0.0,1.0,0.35594,0.21831,0,0
2,1,1,0.01,0.99626,0.81826,0.49327,0,0
2,1,1,0.05,0.91579,0.72029,0.49303,0,0
2,1,1,0.1,0.72193,0.96202,0.56597,0,0
2,1,1,0.2,0.42385,0.55869,0.45136,0,0
2,1,4,0.0,0.63491,0.74837,0.55182,0,0
2,1,4,0.01,0.49642,0.91094,0.56505,0,0
2,1,4,0.05,0.37664,0.93341,0.68518,0,0
2,1,4,0.1,0.31105,1.32601,1.03769,0,0
2,1,4,0.2,0.22018,1.82583,1.51051,0,0
2,1,16,0.0,0.11679,4.58423,2.78268,0,0
2,1,16,0.01,0.29874,1.23573,0.90185,0,0
2,1,16,0.05,-0.15793,5.56931,4.23841,0,0
2,1,16,0.1,0.25987,3.7116,2.91333,0,0
2,1,16,0.2,-0.15911,7.30851,5.87443,0,0
2,1,32,0.0,0.23312,10.14094,6.62154,0,0
2,1,32,0.01,0.13215,8.84972,6.64395,0,0
2,1,32,0.05,-0.01763,9.58209,6.68462,0,0
2,1,32,0.1,-0.09127,11.68963,9.22023,0,0
2,1,32,0.2,0.239,20.03256,16.36769,0,0
2,4,1,0.0,1.0,0.24053,0.16563,0,0
2,4,1,0.01,0.99619,0.76418,0.50765,0,0
2,4,1,0.05,0.85904,0.22144,0.17821,0,0
2,4,1,0.1,0.80698,2.10703,0.62482,0,0
2,4,1,0.2,0.62671,0.64274,0.48661,0,0
2,4,4,0.0,-0.18484,1.1955,0.77472,0,0
2,4,4,0.01,0.68985,0.85839,0.58961,0,0
2,4,4,0.05,0.60198,1.02679,0.84513,0,0
2,4,4,0.1,0.45251,1.3693,1.09712,0,0
2,4,4,0.2,0.06543,1.83282,1.4928,0,0
2,4,16,0.0,0.38394,2.01314,1.53346,0,0
2,4,16,0.01,0.31044,1.72274,1.2761,0,0
2,4,16,0.05,0.44609,3.7234,3.1014,0,0
2,4,16,0.1,0.22281,4.46388,3.7395,0,0
2,4,16,0.2,0.09467,9.6866,8.07183,0,0
2,4,32,0.0,0.09178,8.60089,5.73579,0,0
2,4,32,0.01,0.37202,9.38873,7.3535,0,0
2,4,32,0.05,0.20754,10.16732,7.97742,0,0
2,4,32,0.1,0.13111,7.97128,6.48459,0,0
2,4,32,0.2,-0.09961,17.85385,14.86817,0,0
2,8,1,0.0,1.0,0.21501,0.15077,0,0
2,8,1,0.01,0.99642,0.77496,0.40199,0,0
2,8,1,0.05,0.9263,0.40501,0.28472,0,0
2,8,1,0.1,0.76104,0.42004,0.29771,0,0
2,8,1,0.2,0.34244,0.90095,0.71447,0,0
2,8,4,0.0,0.15446,0.99771,0.6889,0,0
2,8,4,0.01,-0.5976,2.83997,1.99608,1,1
2,8,4,0.05,0.35083,1.00424,0.78752,0,0
2,8,4,0.1,0.53853,1.26254,1.0019,0,0
2,8,4,0.2,0.07482,2.31141,1.85978,0,0
2,8,16,0.0,-0.07836,2.40709,1.71863,0,0
2,8,16,0.01,0.58667,2.51418,1.94746,0,0
2,8,16,0.05,0.18383,6.6236,4.87857,0,0
2,8,16,0.1,0.33399,6.30058,5.06903,0,0
2,8,16,0.2,-0.01411,7.93387,6.53794,0,0
2,8,32,0.0,0.17143,4.77955,3.07739,0,0
2,8,32,0.01,-0.11322,11.01176,7.26242,0,0
2,8,32,0.05,-0.15628,5.77137,4.33682,0,0
2,8,32,0.1,0.02204,10.44237,8.10364,0,0
2,8,32,0.2,0.08864,23.40525,18.79593,0,0
2,12,1,0.0,1.0,0.57762,0.35716,0,0
2,12,1,0.01,0.99574,0.27759,0.17437,0,0
2,12,1,0.05,0.81682,0.25204,0.20769,0,0
2,12,1,0.1,0.74071,1.02377,0.54505,0,0
2,12,1,0.2,0.48052,0.85887,0.71298,0,0
2,12,4,0.0,0.20359,1.08586,0.65899,0,0
2,12,4,0.01,0.86331,0.76917,0.60188,0,0
2,12,4,0.05,0.37119,1.22457,0.94965,0,0
2,12,4,0.1,0.27982,1.31189,1.11095,0,0
2,12,4,0.2,0.24158,2.92655,2.28781,0,0
2,12,16,0.0,0.09543,5.12456,2.81272,0,0
2,12,16,0.01,-0.07895,2.10833,1.58527,0,0
2,12,16,0.05,-0.06622,3.23565,2.57301,0,0
2,12,16,0.1,0.10804,5.93838,4.67554,0,0
2,12,16,0.2,0.19526,8.8765,7.10179,0,0
2,12,32,0.0,-0.14345,5.30871,3.57208,0,0
2,12,32,0.01,0.40341,8.45886,6.60861,0,0
2,12,32,0.05,0.15836,6.07364,4.99884,0,0
2,12,32,0.1,-0.10616,8.55767,6.93122,0,0
2,12,32,0.2,0.16084,20.33737,16.80359,0,0
2,15,1,0.0,1.0,0.23458,0.15837,0,0
2,15,1,0.01,0.99745,0.32635,0.22388,0,0
2,15,1,0.05,0.81939,0.27358,0.20891,0,0
2,15,1,0.1,0.67245,0.54906,0.42967,0,0
2,15,1,0.2,0.30384,0.61394,0.50026,0,0
2,15,4,0.0,0.44249,1.4806,0.86552,0,0
2,15,4,0.01,0.73519,0.67626,0.50164,0,0
2,15,4,0.05,0.61543,0.81046,0.6477,0,0
2,15,4,0.1,0.28974,1.19244,0.98104,0,0
2,15,4,0.2,0.31351,2.67733,2.06977,0,0
2,15,16,0.0,0.27126,1.80539,1.34514,0,0
2,15,16,0.01,0.12497,4.32666,3.09788,0,0
2,15,16,0.05,0.00723,4.91942,3.63746,0,0
2,15,16,0.1,0.10562,4.01865,3.24518,0,0
2,15,16,0.2,-0.0588,8.72776,7.0746,0,0
2,15,32,0.0,0.35739,7.42862,5.21333,0,0
2,15,32,0.01,0.4161,2.79864,2.1724,0,0
2,15,32,0.05,-0.0864,5.61396,4.2103,0,0
2,15,32,0.1,0.06434,7.34627,6.10039,0,0
