model,outcome,site_test,pr_auc,pr_auc_ci,auroc,auroc_ci,mcc,mcc_ci,bal_acc,bal_acc_ci,sens,sens_ci,spec,spec_ci,brier,brier_ci,ece,ece_ci
LR-local-A,Y6-base,all,0.1785,0.0142,0.517,0.0273,0.0039,0.0382,0.5033,0.0262,0.3809,0.0628,0.6256,0.0262,0.235,0.005,0.3037,0.0117
EN-compact,Y6-base,all,0.2233,0.0198,0.5664,0.0225,0.0531,0.0335,0.5372,0.0232,0.4645,0.0476,0.6099,0.0142,0.2384,0.0041,0.3173,0.0069
EN-full,Y6-base,all,0.1868,0.0154,0.5289,0.0246,0.0134,0.0276,0.5095,0.0186,0.3955,0.0433,0.6235,0.0186,0.2411,0.0052,0.3151,0.0097
GBM-full,Y6-base,all,0.2346,0.0325,0.5592,0.0326,0.0583,0.0588,0.5173,0.0178,0.0764,0.0316,0.9582,0.0118,0.1473,0.0075,0.1503,0.0109
FL-FedAvg,Y6-base,all,0.2064,0.0223,0.5374,0.0271,-0.0117,0.0084,0.498,0.0015,0.0,0.0,0.996,0.0031,0.1412,0.0016,0.1278,0.0064
FL-FedProx,Y6-base,all,0.2062,0.0222,0.5371,0.0271,-0.0117,0.0084,0.498,0.0015,0.0,0.0,0.996,0.0031,0.1415,0.0016,0.1282,0.0058
FL-FedAvg-E,Y6-base,all,0.1817,0.0183,0.4693,0.0323,-0.0101,0.0394,0.4976,0.0109,0.0167,0.0211,0.9785,0.0087,0.1546,0.0025,0.1648,0.0087
LR-local-A,Y6-base,A,0.1666,0.019,0.519,0.0375,0.0093,0.0479,0.5066,0.0351,0.4014,0.0742,0.6119,0.0243,0.238,0.0066,0.3282,0.0113
EN-compact,Y6-base,A,0.2046,0.0233,0.5636,0.0345,0.0376,0.0389,0.5272,0.0274,0.3686,0.057,0.6858,0.0159,0.2152,0.0045,0.3053,0.0087
EN-full,Y6-base,A,0.1779,0.0231,0.5196,0.0388,-0.0031,0.0381,0.4991,0.0262,0.3064,0.0597,0.6918,0.0228,0.2232,0.0055,0.3104,0.0104
GBM-full,Y6-base,A,0.2617,0.0368,0.6235,0.0342,0.0877,0.0652,0.526,0.0198,0.0871,0.0371,0.9649,0.0099,0.124,0.0064,0.1306,0.0084
FL-FedAvg,Y6-base,A,0.2031,0.0309,0.5349,0.0462,-0.0122,0.0088,0.4974,0.0019,0.0,0.0,0.9949,0.0039,0.1288,0.0022,0.1406,0.0082
FL-FedProx,Y6-base,A,0.2031,0.0309,0.5349,0.0462,-0.0122,0.0088,0.4974,0.0019,0.0,0.0,0.9949,0.0039,0.1291,0.0021,0.1408,0.0074
FL-FedAvg-E,Y6-base,A,0.2052,0.0281,0.5484,0.0532,-0.0036,0.0478,0.4993,0.016,0.025,0.0316,0.9737,0.0103,0.1471,0.0031,0.1917,0.0073
LR-local-A,Y6-base,B,0.354,0.0615,0.5285,0.0543,0.0259,0.0849,0.5106,0.043,0.3433,0.0785,0.6779,0.0594,0.2243,0.0119,0.2565,0.0143
EN-compact,Y6-base,B,0.3239,0.0511,0.4968,0.0601,-0.0124,0.0834,0.4923,0.0458,0.6667,0.0952,0.3179,0.045,0.3185,0.0135,0.3927,0.0186
EN-full,Y6-base,B,0.2642,0.0278,0.4517,0.0521,-0.0441,0.074,0.4719,0.0436,0.5833,0.0938,0.3604,0.0536,0.303,0.0139,0.3698,0.0246
GBM-full,Y6-base,B,0.2667,0.0444,0.3892,0.0493,-0.012,0.0762,0.4929,0.0267,0.0533,0.0431,0.9324,0.0294,0.2281,0.0184,0.2542,0.0225
FL-FedAvg,Y6-base,B,0.2849,0.0436,0.4415,0.0596,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.184,0.0063,0.1345,0.0255
FL-FedProx,Y6-base,B,0.2845,0.0436,0.4408,0.0595,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.1842,0.0063,0.1361,0.0252
FL-FedAvg-E,Y6-base,B,0.2393,0.0279,0.3887,0.052,-0.0052,0.0102,0.4986,0.0028,0.0,0.0,0.9971,0.0056,0.1807,0.0068,0.1312,0.0214
LR-local-A,Y12-base,all,0.2956,0.0243,0.5484,0.0328,0.0554,0.057,0.5328,0.0328,0.4042,0.0643,0.6614,0.0225,0.2446,0.0035,0.258,0.0105
EN-compact,Y12-base,all,0.3094,0.0234,0.5775,0.0256,0.1175,0.0448,0.5688,0.0263,0.5051,0.0574,0.6325,0.0409,0.2449,0.0043,0.2675,0.0049
EN-full,Y12-base,all,0.2841,0.0223,0.5483,0.0268,0.0573,0.0321,0.5336,0.0188,0.4271,0.056,0.6402,0.0397,0.2512,0.0062,0.265,0.0096
GBM-full,Y12-base,all,0.2746,0.0204,0.5245,0.0263,0.0259,0.0378,0.5102,0.0142,0.1239,0.0279,0.8965,0.0164,0.2229,0.0091,0.2067,0.0158
FL-FedAvg,Y12-base,all,0.2977,0.0238,0.5548,0.0285,0.0461,0.0547,0.5086,0.0123,0.0562,0.019,0.9609,0.0108,0.1839,0.0034,0.1164,0.008
FL-FedProx,Y12-base,all,0.2976,0.0238,0.5547,0.0285,0.0461,0.0547,0.5086,0.0123,0.0562,0.019,0.9609,0.0108,0.1841,0.0034,0.1133,0.0076
