defense,attack,auroc_mean,auroc_lo,auroc_hi,auroc_delta
fedavg,label_flip,0.7709,0.7333,0.8085,-0.1195
fedavg,sign_flip,0.831,0.8034,0.8586,-0.0593
fedavg,model_replace,0.8703,0.8678,0.8724,-0.0201
fedavg,alie,0.8862,0.8808,0.8918,-0.0042
fedavg,backdoor,0.8913,0.8895,0.8925,0.001
fedavg,random_gauss,0.8089,0.7697,0.8482,-0.0814
fedavg,scaled_poison,0.8964,0.892,0.9,0.006
coord_median,label_flip,0.8823,0.8754,0.8919,-0.0081
coord_median,sign_flip,0.8784,0.8712,0.8879,-0.012
coord_median,model_replace,0.8837,0.878,0.8903,-0.0067
coord_median,alie,0.8785,0.8716,0.8856,-0.0118
coord_median,backdoor,0.8923,0.8907,0.8939,0.0019
coord_median,random_gauss,0.8909,0.8868,0.8949,0.0005
coord_median,scaled_poison,0.8965,0.8953,0.8975,0.0062
trimmed_mean,label_flip,0.8823,0.8755,0.8919,-0.0081
trimmed_mean,sign_flip,0.8784,0.8709,0.8879,-0.012
trimmed_mean,model_replace,0.8837,0.878,0.8903,-0.0067
trimmed_mean,alie,0.8785,0.8716,0.8865,-0.0118
trimmed_mean,backdoor,0.8923,0.8906,0.8939,0.0019
trimmed_mean,random_gauss,0.8904,0.8864,0.8953,0.0001
trimmed_mean,scaled_poison,0.8965,0.8954,0.8975,0.0062
clipping,label_flip,0.7709,0.7333,0.8085,-0.1195
clipping,sign_flip,0.831,0.8034,0.8586,-0.0593
clipping,model_replace,0.8703,0.8678,0.8723,-0.0201
clipping,alie,0.8862,0.8808,0.8926,-0.0042
clipping,backdoor,0.8913,0.8895,0.8925,0.001
clipping,random_gauss,0.817,0.777,0.8532,-0.0734
clipping,scaled_poison,0.8964,0.892,0.9,0.006
