budget,policy_a,policy_b,role,delta_v,lcb_95,ucb_95,ci_includes_zero,delta_attend_per100,lcb_per100,ucb_per100
0.25,uplift_targeting,random_budget,primary,-0.03939,-0.084614,0.008142,1,-3.94,-8.46,0.81
0.25,uplift_targeting,risk_targeting,secondary,-0.047441,-0.084908,-0.010915,0,-4.74,-8.49,-1.09
0.25,uplift_targeting,no_incentive,secondary,-0.022435,-0.079704,0.035569,1,-2.24,-7.97,3.56
0.25,risk_targeting,random_budget,secondary,0.008051,-0.038168,0.056488,1,0.81,-3.82,5.65
0.25,incentive_all,random_budget,secondary,0.050865,-0.021289,0.122061,1,5.09,-2.13,12.21
0.25,fairness_constrained_uplift,uplift_targeting,fairness,-0.017271,-0.038936,0.00221,1,-1.73,-3.89,0.22
0.5,uplift_targeting,random_budget,primary,0.017467,-0.030549,0.06493,1,1.75,-3.05,6.49
0.5,uplift_targeting,risk_targeting,secondary,-0.021691,-0.053462,0.013746,1,-2.17,-5.35,1.37
0.5,uplift_targeting,no_incentive,secondary,0.051377,-0.025076,0.120922,1,5.14,-2.51,12.09
0.5,risk_targeting,random_budget,secondary,0.039158,-0.013159,0.087947,1,3.92,-1.32,8.79
0.5,incentive_all,random_budget,secondary,0.03391,-0.014154,0.081635,1,3.39,-1.42,8.16
0.5,fairness_constrained_uplift,uplift_targeting,fairness,0.0,0.0,0.0,1,0.0,0.0,0.0
0.6667,uplift_targeting,random_budget,primary,0.031559,-0.01126,0.077728,1,3.16,-1.13,7.77
0.6667,uplift_targeting,risk_targeting,secondary,0.006833,-0.026187,0.041017,1,0.68,-2.62,4.1
0.6667,uplift_targeting,no_incentive,secondary,0.076774,-0.0055,0.157138,1,7.68,-0.55,15.71
0.6667,risk_targeting,random_budget,secondary,0.024726,-0.016635,0.065976,1,2.47,-1.66,6.6
0.6667,incentive_all,random_budget,secondary,0.022604,-0.011095,0.054364,1,2.26,-1.11,5.44
0.6667,fairness_constrained_uplift,uplift_targeting,fairness,0.0,0.0,0.0,1,0.0,0.0,0.0
