budget,policy,dr_value,delta_vs_no_incentive,delta_vs_random,treat_rate
0.25,no_incentive,0.815089,0.0,-0.016955,0.0
0.25,incentive_all,0.882909,0.06782,0.050865,1.0
0.25,random_budget,0.832044,0.016955,0.0,0.25
0.25,risk_targeting,0.840095,0.025006,0.008051,0.2488
0.25,uplift_targeting,0.792654,-0.022435,-0.03939,0.2488
0.25,fairness_constrained_uplift,0.775383,-0.039706,-0.056661,0.2488
0.5,no_incentive,0.815089,0.0,-0.03391,0.0
0.5,incentive_all,0.882909,0.06782,0.03391,1.0
0.5,random_budget,0.848999,0.03391,0.0,0.5
0.5,risk_targeting,0.888157,0.073068,0.039158,0.5
0.5,uplift_targeting,0.866466,0.051377,0.017467,0.5
0.5,fairness_constrained_uplift,0.866466,0.051377,0.017467,0.5
0.6667,no_incentive,0.815089,0.0,-0.045215,0.0
0.6667,incentive_all,0.882909,0.06782,0.022605,1.0
0.6667,random_budget,0.860304,0.045215,0.0,0.6667
0.6667,risk_targeting,0.88503,0.069941,0.024726,0.6667
0.6667,uplift_targeting,0.891863,0.076774,0.031559,0.6667
0.6667,fairness_constrained_uplift,0.891863,0.076774,0.031559,0.6667
