assigned_provider,n_pids,client_primary,client_sensitivity
CIMAS FOURTH STREET PHARMACY,2266,True,True
ROWLAND SQUARE PHARMACY,1981,True,True
CIMAS HCC CHINHOYI ST. PHARM,1347,True,True
CIMAS BULAWAYO PHARMACY,1073,True,True
CIMAS HIGH GLEN PHARMACY,839,True,True
CIMAS HCC  MUTARE PHARMACY,813,True,True
CIMAS HCC CHITUNGWIZA PHARMACY,619,True,True
CIMAS FIFE AVENUE PHARMACY,484,True,True
CIMAS MANRESA - PHARRMACY,439,True,True
CIMAS HCC GWERU PHARMACY,406,True,True
CIMAS KWEKWE CLINIC- PHARMACY,378,True,True
CIMAS CLINIC -MASVINGO PHARMACY,296,True,True
CIMAS BORROWDALE OFFICE PARK PHARMACY,288,True,True
HEALTHLINK PHARMACY,273,True,True
TRINITY PHARMACY -AVENUES,188,True,True
KENLINK KENSINGTON PHARMACY,153,True,True
WATERSHED PHARMACY,122,True,True
SOMMERDRIFT INV T/A KENLINK THE BRIDGE,121,True,True
CLIQUE PHARMACY,118,True,True
MEDICINE CHEST,118,True,True
BALLANTYNE PARK PHARMACY,114,True,True
ASHBRITTLE   PHARMACY,110,True,True
FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,103,True,True
MAIN STREET PHARMACY T/A TARGTEN PVT LTD,94,False,True
VILLAGE PHARMACY (MS CUENOD),77,False,True
CIMAS RETAIL PHARMACY VICTORIA FALLSS,77,False,True
LEGEND PHARMACY,76,False,True
BEST ZONE PHARMACY,73,False,True
CAREMART PHARMACY,73,False,True
RHODESVILLE COMMUNITY PHARMACY,73,False,True
AVENUES RETAIL PHARMACY,72,False,True
LIFECARE PHARMACY,71,False,True
AFRITIDES INV T/A WINDSOR PHARMACY,68,False,True
ROLF VALLEY PHARMACY,66,False,True
PLUS TWO PHARMACY,65,False,True
DE NOVO PHARMACY,61,False,True
ARUNDEL VILLAGE PHARMACY,61,False,True
KENLINK AVICENNA PHARMACY,60,False,True
GOLDENVIEW INVESTMENTS PVT LTD T/A G/VEW PHARMACY,59,False,True
DIAMOND PHARMACY,58,False,True
KENLINK BORROWDALE PHARMACY,58,False,True
MEDORANGE PHARMACY  WESTGATE,58,False,True
KENLINK AVONDALE PHARMACY,54,False,True
TRINITY PHARMACY - HELENSVALE,49,False,False
CBMA ENTEPRISES T/A EMPIRE KAMFINSA PHARMACY,49,False,False
ALLERGY PHARMACY,46,False,False
LIFESTYLE PHARMACY,45,False,False
CURAPLUS PHARMACY,43,False,False
FAMILY CARE PHARMACY,39,False,False
STRATHAVEN PHARMACY,38,False,False
RELIANCE  PHARMACY TAKAWIRA STREET,37,False,False
MED-CHIP PHARMACY - MARONDERA,36,False,False
TRINITY PHARAMACY KARIGAMOMOMBE CENTRE,35,False,False
DECRIRE ENTEPRISES T/A BOOTIES PHARMACY MONTAGUE,35,False,False
BELVEREDERE PHARMACY S/MACHEL,34,False,False
GREENWOOD FOURTH STREET PHARMACY,34,False,False
CAREWELL PHARMACY,33,False,False
BLUE OCEAN PHARMACEUTICALST/A MEDLINK 24 PHARMACY,32,False,False
24HR KENSINGTON PHARMACY,32,False,False
BESTZONE PHARMACY- NELSON MANDELA,32,False,False
RACECOURSE PHARMACY,31,False,False
NELGADO INV PVT LTD T/A LEMONS PHARMAY,31,False,False
WHITECROSS PHARMACY,31,False,False
DIS-PHARM PHARMACY FIVE AVENUE,31,False,False
WAYGRE INV T/A DIAMOND PHARMACY,30,False,False
SOUTH MEDICAL CHITUNGWIZA HOSPITAL PHARMACY,30,False,False
TRINITY PHARMACY 8TH AVENUE,28,False,False
BRAESIDE PHARMACY,28,False,False
RUWA PHARMACY,27,False,False
BOOTIES PHARMACT VILLAGE WALK,26,False,False
NEWLANDS WELLNESS PHARMACY,26,False,False
BALM  PHARMACY,25,False,False
WESTGATE PHARMACY,24,False,False
MEDIX PHARMACY,23,False,False
GREENWOOD FIFE AVENUE PHARMACY,22,False,False
HEALTH PLUS PHARMACY,22,False,False
WILLOWVALE PHARMACY,22,False,False
TANAYA PHARMACY,21,False,False
TRINITY RUWA,21,False,False
OMEGA HEALTHCARE PHARMACY,20,False,False
HEALTHMART,19,False,False
EVOLUTION PHARMACY,19,False,False
NEW HORIZON PHARMACY,19,False,False
MEDEXPRESS DTM PHARMACY,18,False,False
GOOD SHEPHERD  PHARMACY NYAMHUNGA,18,False,False
HEALTHLINK PHARMACY ROBERT MUGAGE,18,False,False
"SHELLEY PHARMACY,",17,False,False
278577CITYMED PHARMACY,17,False,False
BOOTIES PHARMACY EASTGATE,16,False,False
MED-CHIP PHARMACY PARKTOWN,16,False,False
MUTARE NETLIFE PHARMACY,15,False,False
LUXINTEC PBC T/A IDEAL PHARMACY,15,False,False
CHINHOYI RANK PHARMACY,15,False,False
TICHAZ PHARMACY,14,False,False
SUBURBAN PHARMACY,14,False,False
BESTZONE PHARMACY - ROBERT MUGABE,14,False,False
KENLINK  JOINA CITY,13,False,False
MEDORANGE PHARMACY KWEKWE,13,False,False
MEDORANGE PHARMACY - J.MOYO AVE,13,False,False
SOURU PHARMACEUTICALS T/A OVAL PHARMACY,12,False,False
WELLCARE PHARMACY,12,False,False
ASHER PHARMACY,12,False,False
SINGHEALTH PHARMACY,12,False,False
REGENT PHARMACY,12,False,False
ROLF VALLEY PHARMACY HIGHLANDS,12,False,False
KAFLATE PHARMACY,11,False,False
LANARK PHARMACY PVT LTD  T/A MICHAEL GELFUND PHARM,11,False,False
MEDIHEALTH PHARMACY,11,False,False
PLAZA PHARMACY,11,False,False
GREENWOOD FIRST STREET PHARMACY,11,False,False
MEDICINE SHOPPE - BAINES,11,False,False
GOOD SHEPHERD PHARMACY CHINHOYI,11,False,False
GREENWOOD WHOLESALERS AND PHARMACIES,11,False,False
VLERMAG PHARMACY,11,False,False
REMNANT PHARMACY,11,False,False
BON ACCORD CLINIC,11,False,False
ELS PHARMACY-HATFIELD,11,False,False
TRINITY PHARMACY-- ALBION,10,False,False
RANDT PHARMACY,10,False,False
SERENITY PHARMACY,10,False,False
DR A. O. HARCOMBE,10,False,False
GOOD SHEPHERD PHARMACY- NYAMHUNGA,10,False,False
STRATHAVEN MEDORANGE PHARMACY,10,False,False
DIVINE PHARMACY FIFE AVENUE,10,False,False
MEDIX LANCASTERS MUTARE PHARMACY,9,False,False
Q V PHARMACY BORROWDALE,9,False,False
WEST END PHARMACY,9,False,False
OLIVES PHARMACY,9,False,False
HOUGHTON PARK PHARMACY,9,False,False
C.G. PHARMACY,9,False,False
CITADEL PHARMACY,9,False,False
DELTA MEDICAL SERVICES- SPARKLING BEVERAGES,9,False,False
COUNTRY BROOKE PHARMACY,8,False,False
CAREPOINT PHARMACY R.MUGABE,8,False,False
BELIEVE PHARMACEUTICALS T/A BAINES AVENUE RETAIL PHARMACY,8,False,False
REALM PHARMACY,8,False,False
GOLDCLASS PHARMACY,8,False,False
VLEMARG PHARMACY EASTGATE,8,False,False
TOTAL-MED PHARMACY,8,False,False
SOUTHERTON  PHARMACY,8,False,False
276800GUARDIAN PHARMACY GOVANS,8,False,False
BESTZONE PHARMACY BINDURA,8,False,False
GREENWOOD  PARK STREET PHARMACY,8,False,False
SALUTEM T/A SANDTON PHARMACY,8,False,False
TRINITY,7,False,False
THOSHECK PHARMACY,7,False,False
GREENWOOD MARKET SQUARE PHARMACY,7,False,False
DIAMOND PHARMACY REZENDE STREET,7,False,False
DELYN PHARMACY,7,False,False
TRINITY PHARMACY - VICTORIA FALLS,7,False,False
HEALTH DIRECT PHARMACY GLAUDINA,7,False,False
BRIGHT PHARMACIES WESTGATE,7,False,False
HARARE ONCOLOGY  PHARMACY,7,False,False
DIVINE PHARMACY,7,False,False
BOOTIES PHARMACY  WESTGATE,7,False,False
BOOTIES PHARMACY MUTARE,6,False,False
DIAMOND PHARMACY - FOURTH STREET,6,False,False
PINEAL PHARMACY,6,False,False
ALLIANCE PHARMACY,6,False,False
BOOTIES PHARMACY T/A DECRINE ENTERPRISES,6,False,False
MED-CHEM PHARMACY-GWANDA,6,False,False
GREENWOOD PHARMACY BULAWAYO,6,False,False
HEALTHRITE PHARMACY,6,False,False
HEALTHCARE PHARMACY GWANDA,6,False,False
SCOVILLE PHARMACY,6,False,False
KINGS PHARMACY,6,False,False
SHAMROCK PHARMACY,6,False,False
VIVAT HEALTH PHARMACY GWERU,6,False,False
86754:OLIVE BRANCH PHARMACY,6,False,False
THE BROOKE CHEMIST(PVT)LTD,6,False,False
BELVEDERE PHARMACY LONGCHEN,5,False,False
NATIONAL BREWERIES SOUTHERN RE,5,False,False
GREENWOOD PHARMACY KWEKWE,5,False,False
LIFE JACKET INV T/A GURDIAN KATANGA PHARMACY,5,False,False
GREENWOOD PHARMACY,5,False,False
APEX PHARMACY DAMAFALLS T/A RONETHIA INVESTMENTS,5,False,False
GREENWOOD CHITUNGWIZA PHARMACY,5,False,False
ONE-STOP PHARMACY,5,False,False
RIDGEVIEW PHARMACY,5,False,False
NEW CHIVHU PHARMACY,5,False,False
FITZPHARM PHARMACY,5,False,False
SUPERMED PHARMACY BRADFILED,5,False,False
PSP KADOMA PHARMACY,5,False,False
MEDCARE PHARMACY,5,False,False
COUNTY BROOK PHARMACY,5,False,False
KUWADZANA PHARMACY,5,False,False
MAMBOMED INVETSMENTS T/A  MAMBOMED PHARMACY,4,False,False
"CIMAS UNREGISTERD PHARMACIES, PAY MEMBER",4,False,False
HEALTHGGATE PHARMACT  TANQ VEST INC P\L,4,False,False
BESTZONE PHARMACY KADOMA,4,False,False
MEDCREST PHARMACY,4,False,False
DOUTUNE INVESTMENTS PVT LTD T/A HEALTH GORGE PHARMACY,4,False,False
SHELLWAVE INVEST T/A BETHEL PHARMACY,4,False,False
GREY  PHARMACEUTICALS T/A GREY PHARMACY,4,False,False
HONEYDEW PHARMACY,4,False,False
VITAMIND PHARMACY,4,False,False
KING GEORGE PHARMACY,4,False,False
RHODESVILLE PHARMACY,4,False,False
CORPORATE 24 PHARMACY,4,False,False
WALVIS WESTLEA PHARMACY,3,False,False
ASTRA PHARMACY,3,False,False
MED24 PHARMACY,3,False,False
SOUTH BANK PHARMACY,3,False,False
EVOLUTION PHARMACY RUWA,3,False,False
MEIZON PHARMACY,3,False,False
JOY PHARMACY,3,False,False
ATLAS PHARM PVT LTD,3,False,False
PILL BOX PHARMACY T/A TARGTEN PVT LTD,3,False,False
NEW MALBOROUGH PHARMACY,3,False,False
DIAMOND PHARMACY GWERU,3,False,False
PSP CHIPINGE PHARMACY,3,False,False
SERENITY PHARMACEUTICALS (PVT) LTD SERENE PHARMACI,3,False,False
SHADPAM PHARMACY T/A RAPHA PHARMACY,3,False,False
QV DAY & NIGHT  QV,3,False,False
HEALTH CORNER T/A MEDXPRESS PHARMACY,3,False,False
LONGRANGE PHARMACY SHAWASHA HILLS,3,False,False
NEW HORIZON PHARMACY MUFAKOSE,3,False,False
KENLINK PHARMACY,3,False,False
MEDIX LIMITED T/A MEDIX MALBEREIGN,3,False,False
EVOLUTION PHARMACY MOTTO - MOTTO,3,False,False
HWANGE  PHARMACY,2,False,False
HEALTH PARADISE PHARMACY,2,False,False
MAINSTREET PHARMACY- PARKTOWN,2,False,False
GUARDIAN PHARMACY,2,False,False
OLEIFERA PHARMACY,2,False,False
HARARE PHARMACY,2,False,False
SUPERMED PHARMACY,2,False,False
PHARMAPRIX PHARMACY,2,False,False
MEDPOINT PHARMACY,2,False,False
FOUR SEASONS PHARMACY,2,False,False
STAITON INV PVT LTD T/A ARDBENNIE  PHARMACY,2,False,False
TOTAL HEALTH  PHARMACY,2,False,False
NEW PLATINUM PHARMACY,2,False,False
FAMILY CARE PHARMACY MARONDERA,2,False,False
BEITBRIDGE MEDICAL CENTRE PHARMACY,2,False,False
MAINSTREET PHARMACY LEOPOLD TAKAWIRA,2,False,False
