label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,fold
ElasticNet,3273,1389,0.42438130155820347,0.6830554576518653,0.7979201154353511,0.18181263623827765,0.9351654549172825,-0.2851354133207778,7,0
LightGBM,3273,1389,0.42438130155820347,0.6898227338909262,0.8008140240500505,0.18134193894962647,0.8740154357326289,-0.23526260058609472,7,0
RandomForest,3273,1389,0.42438130155820347,0.6884962048379177,0.794124750274755,0.18215103031537497,0.7923348371272314,0.007505792806849696,7,0
ElasticNet,3273,1389,0.42438130155820347,0.698350552936809,0.8067099854941541,0.17852938366599103,0.9788738419203753,-0.31208618679505107,7,1
LightGBM,3273,1389,0.42438130155820347,0.7051571226831661,0.8091019597413099,0.1777048846220046,0.8664525905610954,-0.24799238586077263,7,1
RandomForest,3273,1389,0.42438130155820347,0.6952317176428716,0.804428639339426,0.17706920596123163,0.8026843098498468,-0.02652738418203382,7,1
ElasticNet,3273,1389,0.42438130155820347,0.7334592645215723,0.8243715025090986,0.16970821950107967,1.0939715492330242,-0.29898173410082446,7,2
LightGBM,3273,1389,0.42438130155820347,0.7463924497467671,0.831585256618961,0.1670301193413186,1.053619849209856,-0.25238647323741664,7,2
RandomForest,3273,1389,0.42438130155820347,0.7237079138531672,0.8190907784702065,0.17074421699426284,0.8891932192860124,0.050147598232011016,7,2
ElasticNet,3273,1389,0.42438130155820347,0.7013906225244106,0.8053965873812897,0.17942412176057146,0.9911986738397653,-0.3429010230971779,7,3
LightGBM,3273,1389,0.42438130155820347,0.683027936490339,0.803445788031225,0.1801661612170254,0.9024111361902021,-0.2947655450917325,7,3
RandomForest,3273,1389,0.42438130155820347,0.6855469226038554,0.7991637739044571,0.17955452693757,0.805032000467306,-0.04188655820308693,7,3
ElasticNet,3273,1388,0.4240757714634891,0.6909076416513431,0.8008664643515087,0.18063342924780762,0.9439326411320773,-0.2712721745509251,7,4
LightGBM,3273,1388,0.4240757714634891,0.6980420639637378,0.805417026578708,0.17944695376643927,0.817397804379504,-0.1807156603198291,7,4
RandomForest,3273,1388,0.4240757714634891,0.7151994437254843,0.8041492443758169,0.17748493397155174,0.8075061880123104,0.029689949428618884,7,4
ElasticNet,3273,1389,0.42438130155820347,0.7079842774311719,0.8060542417753077,0.1797568512081745,0.9764901523057993,-0.32592974436071576,11,0
LightGBM,3273,1389,0.42438130155820347,0.7260040271051483,0.8118464535576009,0.177928742233197,0.9081351822157724,-0.2705793912194612,11,0
RandomForest,3273,1389,0.42438130155820347,0.7103830383616486,0.8041789140945158,0.17747320501069352,0.8013385918086594,-0.018375540024143832,11,0
ElasticNet,3273,1389,0.42438130155820347,0.6847435905786475,0.8004796558950444,0.18116439134097231,0.9692494115947524,-0.31939575981195706,11,1
LightGBM,3273,1389,0.42438130155820347,0.6947743178852003,0.8043780064473823,0.17966013083131102,0.9016160564631971,-0.26565177019990205,11,1
RandomForest,3273,1389,0.42438130155820347,0.6888399397225334,0.7961991703084136,0.18091489968428556,0.76962905088187,-0.02020630706510862,11,1
ElasticNet,3273,1389,0.42438130155820347,0.7005362536353493,0.8071226913311904,0.17722522767744348,0.9787104741843807,-0.28693332892196094,11,2
LightGBM,3273,1389,0.42438130155820347,0.7068468583376041,0.8097143311337642,0.17692093185477045,0.9170571323168004,-0.2608295607266118,11,2
RandomForest,3273,1389,0.42438130155820347,0.6997469045158549,0.8045809201505918,0.1772886308856978,0.8768130895885132,0.00011605883716600562,11,2
ElasticNet,3273,1389,0.42438130155820347,0.7092715083541591,0.8133316213683798,0.17503674857928103,1.0516404136541648,-0.3028031804782081,11,3
LightGBM,3273,1389,0.42438130155820347,0.7061905568051554,0.8130528538608631,0.17514666770676132,0.9594067454999052,-0.24909252576059443,11,3
RandomForest,3273,1389,0.42438130155820347,0.7031043088440285,0.8063672103683934,0.1765490273958652,0.8821793108755149,0.02409341227743625,11,3
