label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,test_client
FedAvg,110,42,0.38181818181818183,0.5496333302403823,0.648109243697479,0.24972197776128136,0.518403234054454,-0.5218303979443434,7,ASHBRITTLE   PHARMACY
FedProx,110,42,0.38181818181818183,0.5496333302403823,0.648109243697479,0.2497195129554839,0.5184680928170595,-0.5218633045924636,7,ASHBRITTLE   PHARMACY
FedAvg-equal,110,42,0.38181818181818183,0.5541088656536773,0.6400560224089635,0.24958617926206988,0.5122286426541107,-0.5054589029353784,7,ASHBRITTLE   PHARMACY
FedAvg,114,35,0.30701754385964913,0.43440971556264985,0.65750452079566,0.2565693279404716,0.4753212048310347,-0.8440273628855715,7,BALLANTYNE PARK PHARMACY
FedProx,114,35,0.30701754385964913,0.4347181790290081,0.6578661844484629,0.25656294110088956,0.4753674838512765,-0.8440460292514448,7,BALLANTYNE PARK PHARMACY
FedAvg-equal,114,35,0.30701754385964913,0.43980845766755383,0.6614828209764919,0.25256434414133505,0.5113149510208815,-0.8462756890377229,7,BALLANTYNE PARK PHARMACY
FedAvg,288,150,0.5208333333333334,0.7130329035489584,0.7393236714975846,0.2025520121177396,0.8246700878384121,-0.0013697023454421204,7,CIMAS BORROWDALE OFFICE PARK PHARMACY
FedProx,288,150,0.5208333333333334,0.7130329035489584,0.7393236714975846,0.2025569730545628,0.8246645250571014,-0.0013289757250238914,7,CIMAS BORROWDALE OFFICE PARK PHARMACY
FedAvg-equal,288,150,0.5208333333333334,0.7176474448963003,0.741207729468599,0.20040697887880596,0.9285676971803495,-0.061279244660510504,7,CIMAS BORROWDALE OFFICE PARK PHARMACY
FedAvg,1073,558,0.5200372786579683,0.8127625041372843,0.8391063785363816,0.15850876239716766,1.2311593752690961,-0.014250857352231597,7,CIMAS BULAWAYO PHARMACY
FedProx,1073,558,0.5200372786579683,0.812738276181517,0.839095939033302,0.15851172971429145,1.2312777721886563,-0.014218123550110992,7,CIMAS BULAWAYO PHARMACY
FedAvg-equal,1073,558,0.5200372786579683,0.8105254094156763,0.8379162751853011,0.15979272592399538,1.347391919653346,-0.05419020474756963,7,CIMAS BULAWAYO PHARMACY
FedAvg,296,141,0.47635135135135137,0.6919893147439397,0.7518188057652709,0.200075205589651,0.891884590920503,-0.048044124240490656,7,CIMAS CLINIC -MASVINGO PHARMACY
FedProx,296,141,0.47635135135135137,0.6919112388250951,0.7517730496453899,0.20007537238161324,0.891973745551923,-0.04803648793342576,7,CIMAS CLINIC -MASVINGO PHARMACY
FedAvg-equal,296,141,0.47635135135135137,0.6886683626565923,0.7514527568062229,0.19945464832970447,0.9737685093586284,-0.07564859131204899,7,CIMAS CLINIC -MASVINGO PHARMACY
FedAvg,484,206,0.4256198347107438,0.6751636748130301,0.7823217154431794,0.18846247492060209,1.0211263243468223,-0.3365969118928879,7,CIMAS FIFE AVENUE PHARMACY
FedProx,484,206,0.4256198347107438,0.675166207040178,0.7822867919256827,0.1884647970954681,1.0211832160401557,-0.3366562785617247,7,CIMAS FIFE AVENUE PHARMACY
FedAvg-equal,484,206,0.4256198347107438,0.6725828719107877,0.7848885939791856,0.1887468898529029,1.1128333376856336,-0.4167740104719184,7,CIMAS FIFE AVENUE PHARMACY
FedAvg,2266,906,0.39982347749338043,0.6800884427409193,0.8159743864433191,0.17079949700474092,1.1252703461216902,-0.20142288294248425,7,CIMAS FOURTH STREET PHARMACY
FedProx,2266,906,0.39982347749338043,0.680103016480353,0.8159743864433191,0.17080166049524576,1.1253448166812097,-0.20140206704118108,7,CIMAS FOURTH STREET PHARMACY
FedAvg-equal,2266,906,0.39982347749338043,0.6791770031964379,0.8148519672769768,0.1721850819984271,1.2186861392579518,-0.2572605782243422,7,CIMAS FOURTH STREET PHARMACY
FedAvg,813,419,0.5153751537515375,0.7251361971992172,0.7761166906945471,0.18347843714948303,1.063968271419887,-0.14097462096126445,7,CIMAS HCC  MUTARE PHARMACY
FedProx,813,419,0.5153751537515375,0.7251117636063003,0.7761045757968573,0.18348154526754284,1.064032089660021,-0.14093659972280378,7,CIMAS HCC  MUTARE PHARMACY
FedAvg-equal,813,419,0.5153751537515375,0.7234926036693613,0.7720460850708115,0.1846717013306471,1.1637441514784628,-0.1776641258845732,7,CIMAS HCC  MUTARE PHARMACY
FedAvg,1347,598,0.44394951744617667,0.7304613156071779,0.8229143875222705,0.16776672490764688,1.1257030167032158,-0.069575103718821,7,CIMAS HCC CHINHOYI ST. PHARM
FedProx,1347,598,0.44394951744617667,0.730471445064198,0.8229210854160062,0.16776800024838004,1.1258263266339317,-0.06955037904051993,7,CIMAS HCC CHINHOYI ST. PHARM
FedAvg-equal,1347,598,0.44394951744617667,0.7251873517780612,0.8211037235823907,0.16893950910301023,1.225681995429432,-0.12099595559776857,7,CIMAS HCC CHINHOYI ST. PHARM
FedAvg,619,333,0.5379644588045234,0.757652698668583,0.769020769020769,0.19027876645364228,0.9205833871281514,0.055606359321012044,7,CIMAS HCC CHITUNGWIZA PHARMACY
FedProx,619,333,0.5379644588045234,0.757652698668583,0.769020769020769,0.1902792028189148,0.9206894141518874,0.05563270684858305,7,CIMAS HCC CHITUNGWIZA PHARMACY
