,auroc,auroc,risk_pr_auc,risk_pr_auc
,mean,std,mean,std
test_client,,,,
ASHBRITTLE   PHARMACY,0.6499,0.0,0.7725,0.0
BALLANTYNE PARK PHARMACY,0.6568,0.0,0.8375,0.0
CIMAS BORROWDALE OFFICE PARK PHARMACY,0.7413,0.0,0.7736,0.0
CIMAS BULAWAYO PHARMACY,0.8391,0.0,0.8608,0.0
CIMAS CLINIC -MASVINGO PHARMACY,0.7532,0.0,0.7916,0.0
CIMAS FIFE AVENUE PHARMACY,0.7831,0.0,0.859,0.0
CIMAS FOURTH STREET PHARMACY,0.8166,0.0,0.8859,0.0
CIMAS HCC  MUTARE PHARMACY,0.7768,0.0,0.8114,0.0
CIMAS HCC CHINHOYI ST. PHARM,0.823,0.0,0.8736,0.0
CIMAS HCC CHITUNGWIZA PHARMACY,0.7682,0.0,0.7733,0.0
CIMAS HCC GWERU PHARMACY,0.8016,0.0,0.8156,0.0
CIMAS HIGH GLEN PHARMACY,0.8081,0.0,0.8713,0.0
CIMAS KWEKWE CLINIC- PHARMACY,0.8206,0.0,0.9128,0.0
CIMAS MANRESA - PHARRMACY,0.7436,0.0,0.8132,0.0
CLIQUE PHARMACY,0.8831,0.0,0.9291,0.0
FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,0.7447,0.0,0.8513,0.0
HEALTHLINK PHARMACY,0.7907,0.0,0.8286,0.0
KENLINK KENSINGTON PHARMACY,0.7729,0.0,0.8533,0.0
MEDICINE CHEST,0.7468,0.0,0.8571,0.0
ROWLAND SQUARE PHARMACY,0.7706,0.0,0.8076,0.0
SOMMERDRIFT INV T/A KENLINK THE BRIDGE,0.7173,0.0,0.7636,0.0
TRINITY PHARMACY -AVENUES,0.7956,0.0,0.9014,0.0
WATERSHED PHARMACY,0.7169,0.0,0.8415,0.0
