ratio,prox_norm,data_norm,client,round,step,mu
4.0530310481451895e-05,1.413797099039984e-05,0.3488246406814445,ASHBRITTLE   PHARMACY,1,2,0.001
6.159799937477665e-05,2.093439532036767e-05,0.3398551175826005,ASHBRITTLE   PHARMACY,1,3,0.001
8.320933389475892e-05,2.7556631138629557e-05,0.33117235589798727,ASHBRITTLE   PHARMACY,1,4,0.001
0.0001053697767859485,3.4010145165435467e-05,0.3227694525207617,ASHBRITTLE   PHARMACY,1,5,0.001
0.0001280839826784085,4.0300263010944645e-05,0.31463936526809905,ASHBRITTLE   PHARMACY,1,6,0.001
0.0001513557946143547,4.643216763792908e-05,0.3067749586742642,ASHBRITTLE   PHARMACY,1,7,0.001
0.000175188240837509,5.241089861921023e-05,0.2991690445012374,ASHBRITTLE   PHARMACY,1,8,0.001
0.000199583531963337,5.8241352092299205e-05,0.29181441734881214,ASHBRITTLE   PHARMACY,1,9,0.001
0.00022454305866983682,6.392828132144943e-05,0.284703885749807,ASHBRITTLE   PHARMACY,1,10,0.001
4.0503546868721485e-05,1.5961025446837002e-05,0.39406488272667217,BALLANTYNE PARK PHARMACY,1,2,0.001
6.151159901759402e-05,2.3649341678858682e-05,0.3844696294124026,BALLANTYNE PARK PHARMACY,1,3,0.001
8.302380131753255e-05,3.115161990510436e-05,0.3752131245588477,BALLANTYNE PARK PHARMACY,1,4,0.001
0.00010503852562026072,3.8474219748465496e-05,0.3662867459465203,BALLANTYNE PARK PHARMACY,1,5,0.001
0.00012755291426532145,4.562332615826577e-05,0.3576815662820935,BALLANTYNE PARK PHARMACY,1,6,0.001
0.00015056292624401332,5.2604945876155266e-05,0.34938843969397776,BALLANTYNE PARK PHARMACY,1,7,0.001
0.00017406338576961096,5.942490534067924e-05,0.3413980779354345,BALLANTYNE PARK PHARMACY,1,8,0.001
0.00019804803306117995,6.608884984299034e-05,0.333701116953656,BALLANTYNE PARK PHARMACY,1,9,0.001
0.00022250957718752203,7.260224376070768e-05,0.32628817455134285,BALLANTYNE PARK PHARMACY,1,10,0.001
4.059327844956092e-05,1.993443276018e-05,0.491077181286293,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,2,0.001
6.17892429392125e-05,2.9473404561093475e-05,0.47699895902736744,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,3,0.001
8.359569192376305e-05,3.87400181199778e-05,0.4634212269611647,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,4,0.001
0.00010601885308139146,4.774387933221279e-05,0.4503338599179097,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,5,0.001
0.0001290634245281302,5.6494369639586516e-05,0.4377256364158631,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,6,0.001
0.0001527326179730612,6.50006294027287e-05,0.4255844643099972,CIMAS BORROWDALE OFFICE PARK PHARMACY,1,7,0.001
