condition,metric,seed_mean,ci_lo_95,ci_hi_95,n_seeds
cold_fed,iqr,0.091543,0.072512,0.109005,5
cold_fed,range,0.381353,0.329029,0.454241,5
cold_fed,cv,0.125193,0.10001,0.152491,5
cold_fed,gini,0.065247,0.053082,0.077753,5
cold_fed,min,0.518394,0.444188,0.578039,5
cold_fed,max,0.899747,0.870121,0.92813,5
cold_fed,mean,0.760505,0.743855,0.778011,5
cold_fed,p10,0.641253,0.592546,0.688535,5
cold_local,iqr,0.094154,0.073296,0.115595,5
cold_local,range,0.395984,0.349927,0.436551,5
cold_local,cv,0.129691,0.115521,0.146874,5
cold_local,gini,0.066986,0.059774,0.076268,5
cold_local,min,0.509385,0.465734,0.565536,5
cold_local,max,0.905369,0.869101,0.934671,5
cold_local,mean,0.757682,0.744893,0.774367,5
cold_local,p10,0.644421,0.59658,0.684144,5
warm_fed,iqr,0.091543,0.073638,0.110056,5
warm_fed,range,0.381353,0.329029,0.454241,5
warm_fed,cv,0.125193,0.10001,0.152491,5
warm_fed,gini,0.065247,0.053082,0.077753,5
warm_fed,min,0.518394,0.444188,0.578039,5
warm_fed,max,0.899747,0.869506,0.92813,5
warm_fed,mean,0.760505,0.743855,0.778011,5
warm_fed,p10,0.641253,0.592546,0.688535,5
warm_local,iqr,0.091133,0.075113,0.104711,5
warm_local,range,0.380723,0.357118,0.407513,5
warm_local,cv,0.122874,0.105953,0.142412,5
warm_local,gini,0.064307,0.05537,0.075497,5
warm_local,min,0.525218,0.486587,0.565317,5
warm_local,max,0.905941,0.870815,0.934149,5
warm_local,mean,0.762868,0.747696,0.780532,5
warm_local,p10,0.641082,0.584167,0.684192,5
