contrast,client_id,mean_delta,sd_delta,sign_consistency,n_test,systematic,snr_ratio
cold_fed - cold_local,ASHBRITTLE   PHARMACY,0.114107,0.135753,1.0,22,False,0.841
cold_fed - cold_local,BALLANTYNE PARK PHARMACY,-0.030714,0.079876,0.2,23,False,0.385
cold_fed - cold_local,CIMAS BORROWDALE OFFICE PARK PHARMACY,0.010262,0.039977,0.6,58,False,0.257
cold_fed - cold_local,CIMAS BULAWAYO PHARMACY,0.002812,0.002385,1.0,215,False,1.179
cold_fed - cold_local,CIMAS CLINIC -MASVINGO PHARMACY,0.011346,0.032733,0.6,60,False,0.347
cold_fed - cold_local,CIMAS FIFE AVENUE PHARMACY,0.010139,0.00992,0.8,97,False,1.022
cold_fed - cold_local,CIMAS FOURTH STREET PHARMACY,-0.00044,0.001757,0.6,454,False,0.25
cold_fed - cold_local,CIMAS HCC  MUTARE PHARMACY,-0.001052,0.010379,0.2,163,False,0.101
cold_fed - cold_local,CIMAS HCC CHINHOYI ST. PHARM,0.005726,0.005703,1.0,270,False,1.004
cold_fed - cold_local,CIMAS HCC CHITUNGWIZA PHARMACY,-0.01182,0.009688,0.2,124,False,1.22
cold_fed - cold_local,CIMAS HCC GWERU PHARMACY,-0.001244,0.00796,0.6,82,False,0.156
cold_fed - cold_local,CIMAS HIGH GLEN PHARMACY,0.008194,0.005868,1.0,168,False,1.396
cold_fed - cold_local,CIMAS KWEKWE CLINIC- PHARMACY,0.006275,0.017474,0.6,76,False,0.359
cold_fed - cold_local,CIMAS MANRESA - PHARRMACY,0.004156,0.010791,0.8,88,False,0.385
cold_fed - cold_local,CLIQUE PHARMACY,0.009429,0.011001,0.8,24,False,0.857
cold_fed - cold_local,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,-0.0225,0.01885,0.2,21,False,1.194
cold_fed - cold_local,HEALTHLINK PHARMACY,0.014021,0.014682,1.0,55,False,0.955
cold_fed - cold_local,KENLINK KENSINGTON PHARMACY,0.017094,0.066799,0.4,31,False,0.256
cold_fed - cold_local,MEDICINE CHEST,-0.080781,0.046812,0.0,24,False,1.726
cold_fed - cold_local,ROWLAND SQUARE PHARMACY,-0.000652,0.00243,0.6,397,False,0.268
cold_fed - cold_local,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,-0.022692,0.034596,0.4,25,False,0.656
cold_fed - cold_local,TRINITY PHARMACY -AVENUES,0.002708,0.04572,0.6,38,False,0.059
cold_fed - cold_local,WATERSHED PHARMACY,0.020556,0.055825,0.6,25,False,0.368
warm_local - cold_local,ASHBRITTLE   PHARMACY,0.050714,0.053866,1.0,22,False,0.941
warm_local - cold_local,BALLANTYNE PARK PHARMACY,-0.005179,0.035599,0.6,23,False,0.145
warm_local - cold_local,CIMAS BORROWDALE OFFICE PARK PHARMACY,0.005143,0.014303,0.6,58,False,0.36
warm_local - cold_local,CIMAS BULAWAYO PHARMACY,0.001257,0.001458,0.8,215,False,0.862
warm_local - cold_local,CIMAS CLINIC -MASVINGO PHARMACY,0.000845,0.011259,0.6,60,False,0.075
warm_local - cold_local,CIMAS FIFE AVENUE PHARMACY,0.002918,0.006528,0.6,97,False,0.447
warm_local - cold_local,CIMAS FOURTH STREET PHARMACY,3.6e-05,0.001265,0.6,454,False,0.028
warm_local - cold_local,CIMAS HCC  MUTARE PHARMACY,-0.000335,0.005094,0.4,163,False,0.066
warm_local - cold_local,CIMAS HCC CHINHOYI ST. PHARM,0.00305,0.002137,1.0,270,False,1.427
warm_local - cold_local,CIMAS HCC CHITUNGWIZA PHARMACY,-0.002425,0.003746,0.2,124,False,0.647
warm_local - cold_local,CIMAS HCC GWERU PHARMACY,0.002213,0.002006,1.0,82,False,1.103
warm_local - cold_local,CIMAS HIGH GLEN PHARMACY,0.004115,0.002873,1.0,168,False,1.432
warm_local - cold_local,CIMAS KWEKWE CLINIC- PHARMACY,0.00411,0.004451,0.6,76,False,0.923
warm_local - cold_local,CIMAS MANRESA - PHARRMACY,0.005635,0.003299,1.0,88,False,1.708
warm_local - cold_local,CLIQUE PHARMACY,0.007143,0.014777,0.8,24,False,0.483
warm_local - cold_local,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,-0.003654,0.015951,0.6,21,False,0.229
warm_local - cold_local,HEALTHLINK PHARMACY,0.006111,0.005049,0.8,55,False,1.21
warm_local - cold_local,KENLINK KENSINGTON PHARMACY,0.005812,0.03242,0.4,31,False,0.179
warm_local - cold_local,MEDICINE CHEST,-0.009062,0.015003,0.4,24,False,0.604
warm_local - cold_local,ROWLAND SQUARE PHARMACY,0.00031,0.001104,0.6,397,False,0.281
warm_local - cold_local,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,0.013205,0.025414,0.6,25,False,0.52
warm_local - cold_local,TRINITY PHARMACY -AVENUES,0.011754,0.018235,0.8,38,False,0.645
warm_local - cold_local,WATERSHED PHARMACY,0.015556,0.022703,0.8,25,False,0.685
warm_local - warm_fed,ASHBRITTLE   PHARMACY,-0.063393,0.08807,0.4,22,False,0.72
warm_local - warm_fed,BALLANTYNE PARK PHARMACY,0.025536,0.052122,0.8,23,False,0.49
warm_local - warm_fed,CIMAS BORROWDALE OFFICE PARK PHARMACY,-0.005119,0.027328,0.2,58,False,0.187
warm_local - warm_fed,CIMAS BULAWAYO PHARMACY,-0.001555,0.002795,0.4,215,False,0.556
warm_local - warm_fed,CIMAS CLINIC -MASVINGO PHARMACY,-0.010501,0.021874,0.4,60,False,0.48
warm_local - warm_fed,CIMAS FIFE AVENUE PHARMACY,-0.007221,0.005488,0.2,97,False,1.316
warm_local - warm_fed,CIMAS FOURTH STREET PHARMACY,0.000475,0.000623,0.6,454,False,0.763
warm_local - warm_fed,CIMAS HCC  MUTARE PHARMACY,0.000717,0.006156,0.8,163,False,0.117
warm_local - warm_fed,CIMAS HCC CHINHOYI ST. PHARM,-0.002676,0.003609,0.4,270,False,0.741
warm_local - warm_fed,CIMAS HCC CHITUNGWIZA PHARMACY,0.009395,0.006369,1.0,124,False,1.475
warm_local - warm_fed,CIMAS HCC GWERU PHARMACY,0.003457,0.006601,0.6,82,False,0.524
warm_local - warm_fed,CIMAS HIGH GLEN PHARMACY,-0.00408,0.003835,0.0,168,False,1.064
warm_local - warm_fed,CIMAS KWEKWE CLINIC- PHARMACY,-0.002165,0.013198,0.4,76,False,0.164
warm_local - warm_fed,CIMAS MANRESA - PHARRMACY,0.001479,0.007542,0.8,88,False,0.196
warm_local - warm_fed,CLIQUE PHARMACY,-0.002286,0.015037,0.2,24,False,0.152
warm_local - warm_fed,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,0.018846,0.033403,0.6,21,False,0.564
warm_local - warm_fed,HEALTHLINK PHARMACY,-0.00791,0.010884,0.2,55,False,0.727
warm_local - warm_fed,KENLINK KENSINGTON PHARMACY,-0.011282,0.038616,0.6,31,False,0.292
warm_local - warm_fed,MEDICINE CHEST,0.071719,0.048151,1.0,24,False,1.489
warm_local - warm_fed,ROWLAND SQUARE PHARMACY,0.000962,0.001417,0.8,397,False,0.679
warm_local - warm_fed,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,0.035897,0.026735,1.0,25,False,1.343
warm_local - warm_fed,TRINITY PHARMACY -AVENUES,0.009046,0.031368,0.8,38,False,0.288
warm_local - warm_fed,WATERSHED PHARMACY,-0.005,0.03388,0.6,25,False,0.148
