seed,condition,round,client_id,n_train,n_test,prevalence,auroc
7,cold_fed,1,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6339285714285714
7,cold_fed,1,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.625
7,cold_fed,1,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6761904761904761
7,cold_fed,1,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8603502080443828
7,cold_fed,1,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8042269187986653
7,cold_fed,1,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7317073170731707
7,cold_fed,1,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8016523917259211
7,cold_fed,1,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7246835443037974
7,cold_fed,1,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8393333333333334
7,cold_fed,1,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7407698350353497
7,cold_fed,1,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8415071770334929
7,cold_fed,1,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.830295138888889
7,cold_fed,1,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8188235294117647
7,cold_fed,1,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6973958333333333
7,cold_fed,1,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,1,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,1,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,1,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7521367521367521
7,cold_fed,1,MEDICINE CHEST,94,24,0.3333333333333333,0.6875
7,cold_fed,1,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.776194105691057
7,cold_fed,1,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,1,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,1,WATERSHED PHARMACY,97,25,0.36,0.7847222222222222
7,cold_fed,2,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6339285714285714
7,cold_fed,2,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.625
7,cold_fed,2,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6749999999999999
7,cold_fed,2,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8609570041608876
7,cold_fed,2,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8053392658509455
7,cold_fed,2,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.73301393728223
7,cold_fed,2,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8024604072398189
7,cold_fed,2,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7254370102471368
7,cold_fed,2,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8396111111111111
7,cold_fed,2,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.74050798638387
7,cold_fed,2,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8415071770334929
7,cold_fed,2,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8305844907407408
7,cold_fed,2,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8180392156862746
7,cold_fed,2,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6979166666666667
7,cold_fed,2,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,2,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8557692307692307
7,cold_fed,2,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,2,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7521367521367521
7,cold_fed,2,MEDICINE CHEST,94,24,0.3333333333333333,0.6875
7,cold_fed,2,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7766006097560976
7,cold_fed,2,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,2,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,2,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,3,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6339285714285714
7,cold_fed,3,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.625
7,cold_fed,3,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6749999999999999
7,cold_fed,3,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8615638002773925
7,cold_fed,3,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8053392658509455
7,cold_fed,3,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7347560975609756
7,cold_fed,3,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8032482223658695
7,cold_fed,3,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7266425557564798
7,cold_fed,3,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.8393333333333334
7,cold_fed,3,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7415553809897879
7,cold_fed,3,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8421052631578947
7,cold_fed,3,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.830005787037037
7,cold_fed,3,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8180392156862746
7,cold_fed,3,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6979166666666666
7,cold_fed,3,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
