experiment,scenario,scenario_label,round,n_total,n_attend,n_incentivized,participation_rate,incentive_util,active_clients,local_sample_counts,cumulative_records,auroc,pr_auc,ece,brier,comm_cost_params,model_hash,policy_hash,alloc_hash,attend_hash,agg_hash,chain_hash
betterbp,C0,No incentive,1,402,226,0,0.5622,0.0,2,"{""A"": 187, ""B"": 39}",226,0.52862,0.18821,0.35557,0.2493,24,6e199d6a6053858a,6e199d6a6053858a,5560728cd337269a,bc258f447621e33b,870ad86fa9331b1c,3fe68df0971eb75d
betterbp,C0,No incentive,2,402,225,0,0.5597,0.0,2,"{""A"": 185, ""B"": 40}",451,0.55608,0.20077,0.35558,0.24921,24,10a680c7d9cda73a,10a680c7d9cda73a,5560728cd337269a,41d4c424b76182b5,29595f3df87b03c4,7c48943aa74da9d7
betterbp,C0,No incentive,3,402,230,0,0.5721,0.0,2,"{""A"": 198, ""B"": 32}",681,0.55834,0.17928,0.35545,0.24902,24,4e721b000b2f6761,4e721b000b2f6761,5560728cd337269a,0db98060a526fbd8,17bd6d00f64455d9,0a74b846de5c6a81
betterbp,C0,No incentive,4,402,218,0,0.5423,0.0,2,"{""A"": 178, ""B"": 40}",899,0.54842,0.19619,0.35563,0.24935,24,4ba82acad871fb80,4ba82acad871fb80,5560728cd337269a,1774c72454852fde,7287b4fbfe0bda87,d56714a346d31dba
betterbp,C0,No incentive,5,402,222,0,0.5522,0.0,2,"{""A"": 188, ""B"": 34}",1121,0.52691,0.1889,0.35555,0.24933,24,556a948f6ef4bef6,556a948f6ef4bef6,5560728cd337269a,e220a6c5e2b52954,f82901d80f465567,ea067777e0d1008b
betterbp,C0,No incentive,6,402,215,0,0.5348,0.0,2,"{""A"": 182, ""B"": 33}",1336,0.55749,0.18807,0.35555,0.24918,24,55c9587b012c1954,55c9587b012c1954,5560728cd337269a,8ba225a72df0eaf0,81daaf39eafc10bf,8fc1c085df8d53f3
betterbp,C0,No incentive,7,402,215,0,0.5348,0.0,2,"{""A"": 177, ""B"": 38}",1551,0.51814,0.19268,0.35553,0.24924,24,d838012f4f00e1b3,d838012f4f00e1b3,5560728cd337269a,8021c56cacea9324,d4a0ae528b9bec73,6d96c03589d8f628
betterbp,C0,No incentive,8,402,229,0,0.5697,0.0,2,"{""A"": 188, ""B"": 41}",1780,0.53889,0.1768,0.35561,0.24941,24,89af0bfddc03b271,89af0bfddc03b271,5560728cd337269a,aa2de6c1e901ebc8,dac8a4f1dbfa8c88,7c06b175d2c02877
betterbp,C0,No incentive,9,402,210,0,0.5224,0.0,2,"{""A"": 173, ""B"": 37}",1990,0.54441,0.18397,0.35563,0.24949,24,89973d1c6fba2e3f,89973d1c6fba2e3f,5560728cd337269a,df40d492b94a6a37,7e38352c5376748b,8c6fb53e50578716
betterbp,C0,No incentive,10,402,251,0,0.6244,0.0,2,"{""A"": 209, ""B"": 42}",2241,0.55603,0.20836,0.35558,0.24922,24,5c5d9306daadd2c6,5c5d9306daadd2c6,5560728cd337269a,3c75e7465ee58ce5,ad4929b06f9922af,ebab765aed5832ac
