experiment,scenario,scenario_label,round,n_total,n_clinical_attend,n_fl_available,n_local_train,n_incentivized,participation_clinical,participation_fl,fl_local_fraction,incentive_util,active_clients,auroc,pr_auc,ece,brier,comm_cost_bidir,model_hash,chain_hash
betterbp,C0,No incentive,1,402,316,316,316,0,0.7861,0.7861,1.0,0.0,2,0.56315,0.2181,0.35559,0.2492,48,7b29a66d271483d2,3c3707a8c0b2f063
betterbp,C0,No incentive,2,402,339,339,339,0,0.8433,0.8433,1.0,0.0,2,0.55283,0.22829,0.35552,0.24904,48,34e346954a239d60,54592d26bceb7503
betterbp,C0,No incentive,3,402,315,315,315,0,0.7836,0.7836,1.0,0.0,2,0.55829,0.20419,0.3556,0.24919,48,5cd7bb1441a24ddd,6048f3615912adcd
betterbp,C0,No incentive,4,402,330,330,330,0,0.8209,0.8209,1.0,0.0,2,0.54932,0.22078,0.35558,0.24914,48,3fa7ae0318046f04,b4cd33e87e2005cc
betterbp,C0,No incentive,5,402,311,311,311,0,0.7736,0.7736,1.0,0.0,2,0.53784,0.18162,0.35554,0.2492,48,d90ad020a1975a41,254ac0b25025cd77
betterbp,C0,No incentive,6,402,313,313,313,0,0.7786,0.7786,1.0,0.0,2,0.55223,0.21498,0.35552,0.24912,48,d9464061db48e7f1,c8a2a67ba80f17cd
betterbp,C0,No incentive,7,402,315,315,315,0,0.7836,0.7836,1.0,0.0,2,0.56125,0.19623,0.35559,0.24915,48,6df71c4c3333b5be,2c4d4eeb6a50c867
betterbp,C0,No incentive,8,402,321,321,321,0,0.7985,0.7985,1.0,0.0,2,0.54947,0.18642,0.35561,0.24922,48,0c37eb163824f47b,c3fff91b74876fc9
betterbp,C0,No incentive,9,402,309,309,309,0,0.7687,0.7687,1.0,0.0,2,0.55558,0.18334,0.35562,0.2493,48,221be0cbe3ff38bc,6da47f13991f25ca
betterbp,C0,No incentive,10,402,334,334,334,0,0.8308,0.8308,1.0,0.0,2,0.53213,0.20628,0.35558,0.24925,48,5d235290bfd45646,0273bff4d98534d3
betterbp,C0,No incentive,11,402,336,336,336,0,0.8358,0.8358,1.0,0.0,2,0.56481,0.21096,0.35559,0.24908,48,5ae44c8058ee5262,972235b39c0d32d4
betterbp,C0,No incentive,12,402,314,314,314,0,0.7811,0.7811,1.0,0.0,2,0.54646,0.21805,0.35557,0.24918,48,a3f32a6cfc4f55a0,d84d74b22c4e900e
betterbp,C0,No incentive,13,402,321,321,321,0,0.7985,0.7985,1.0,0.0,2,0.55854,0.18588,0.35561,0.2493,48,6ff88510c28d84d3,b6f4ee116de0030a
betterbp,C0,No incentive,14,402,324,324,324,0,0.806,0.806,1.0,0.0,2,0.56215,0.18631,0.35558,0.24916,48,bbd97dbcb7315007,a84aec3159390549
betterbp,C0,No incentive,15,402,330,330,330,0,0.8209,0.8209,1.0,0.0,2,0.55839,0.22553,0.3556,0.24913,48,661e67c458f61534,b015a95d9dd77fda
betterbp,C0,No incentive,16,402,311,311,311,0,0.7736,0.7736,1.0,0.0,2,0.5434,0.22209,0.35558,0.24918,48,bfae2005534032fb,3388d1a31228070d
betterbp,C0,No incentive,17,402,295,295,295,0,0.7338,0.7338,1.0,0.0,2,0.52641,0.15525,0.3556,0.24954,48,6d3133eaf80fc043,ffca76990b001067
betterbp,C0,No incentive,18,402,325,325,325,0,0.8085,0.8085,1.0,0.0,2,0.56014,0.23017,0.35558,0.24902,48,06d692606bb98ac3,b61813dea74807de
betterbp,C0,No incentive,19,402,328,328,328,0,0.8159,0.8159,1.0,0.0,2,0.57067,0.23276,0.35559,0.24906,48,cd34ca2b18ad7e57,da50290aef9883a7
betterbp,C0,No incentive,20,402,325,325,325,0,0.8085,0.8085,1.0,0.0,2,0.5414,0.20197,0.35556,0.24926,48,d065a08d5d056b3b,9cda7aa40d196b10
betterbp,C1,Random allocation,1,402,342,342,342,268,0.8507,0.8507,1.0,1.0,2,0.55388,0.22254,0.35558,0.24917,48,db64e842f764e5ec,d84b613b4366f1f0
betterbp,C1,Random allocation,2,402,349,349,349,268,0.8682,0.8682,1.0,1.0,2,0.54315,0.21587,0.35547,0.24911,48,893a325cf380fbb6,62a5b1758b1f4196
betterbp,C1,Random allocation,3,402,335,335,335,268,0.8333,0.8333,1.0,1.0,2,0.55027,0.21701,0.35557,0.24916,48,461143e76a2bb7ec,827c84ec32096a1b
betterbp,C1,Random allocation,4,402,341,341,341,268,0.8483,0.8483,1.0,1.0,2,0.55368,0.22128,0.35555,0.2491,48,01bbb7ea815dfaa3,665f4941c7757685
betterbp,C1,Random allocation,5,402,335,335,335,268,0.8333,0.8333,1.0,1.0,2,0.54882,0.1838,0.35555,0.24916,48,70fbae9744d72167,c35d0c48b6731649
betterbp,C1,Random allocation,6,402,333,333,333,268,0.8284,0.8284,1.0,1.0,2,0.54441,0.21013,0.35555,0.24919,48,43b48282a053075d,877d8eac514969d1
betterbp,C1,Random allocation,7,402,331,331,331,268,0.8234,0.8234,1.0,1.0,2,0.55077,0.21198,0.35557,0.24915,48,93a3b3d1f6437ed9,cf0371bc207fd8aa
betterbp,C1,Random allocation,8,402,344,344,344,268,0.8557,0.8557,1.0,1.0,2,0.58104,0.21085,0.35563,0.2492,48,e454cff4432b47bc,8667e2f81eacdf88
betterbp,C1,Random allocation,9,402,330,330,330,268,0.8209,0.8209,1.0,1.0,2,0.56491,0.19513,0.35562,0.24934,48,e7df84ce4bc18bd1,d37515f1c814d38f
betterbp,C1,Random allocation,10,402,350,350,350,268,0.8706,0.8706,1.0,1.0,2,0.53418,0.20483,0.3556,0.24926,48,0b0c81edc7fd5e50,3507e89f2add1cb6
betterbp,C1,Random allocation,11,402,361,361,361,268,0.898,0.898,1.0,1.0,2,0.56736,0.20284,0.35561,0.24914,48,5e79b3cbda58f50f,866d87cf72c81377
betterbp,C1,Random allocation,12,402,331,331,331,268,0.8234,0.8234,1.0,1.0,2,0.55443,0.21922,0.35558,0.24914,48,3d3cbf7976d9dac6,758613009becfc2d
betterbp,C1,Random allocation,13,402,344,344,344,268,0.8557,0.8557,1.0,1.0,2,0.56195,0.22216,0.35555,0.24899,48,157a866fff08802a,e0b31b74022b7ba0
betterbp,C1,Random allocation,14,402,349,349,349,268,0.8682,0.8682,1.0,1.0,2,0.55714,0.2035,0.35556,0.24903,48,0c56a4e92a0d6a22,772e321692cd99ff
betterbp,C1,Random allocation,15,402,351,351,351,268,0.8731,0.8731,1.0,1.0,2,0.56405,0.20018,0.35559,0.24912,48,26210cf3e9cbfbd2,f78f51e8994b5e2a
betterbp,C1,Random allocation,16,402,340,340,340,268,0.8458,0.8458,1.0,1.0,2,0.54726,0.22993,0.35557,0.24911,48,eaa5f1b5fa1bf301,b9a3a552b83297cb
betterbp,C1,Random allocation,17,402,326,326,326,268,0.8109,0.8109,1.0,1.0,2,0.54025,0.15645,0.35562,0.24946,48,328e65e878a6550b,e331b1242a2d27fa
betterbp,C1,Random allocation,18,402,335,335,335,268,0.8333,0.8333,1.0,1.0,2,0.55829,0.22532,0.35558,0.24907,48,a7fbc2e9aef89d52,3fe6fd9514408e9c
betterbp,C1,Random allocation,19,402,340,340,340,268,0.8458,0.8458,1.0,1.0,2,0.56856,0.23635,0.35561,0.24914,48,a1772aab224bcc2f,2824ecb694c25e8c
betterbp,C1,Random allocation,20,402,344,344,344,268,0.8557,0.8557,1.0,1.0,2,0.52626,0.20638,0.35549,0.24919,48,c41cde6bb5b3daf8,fae0f80c6bdd4ed1
betterbp,C2,FL nonattendance-risk ranking,1,402,343,343,343,268,0.8532,0.8532,1.0,1.0,2,0.55588,0.22187,0.35558,0.24911,48,41b4a3a9199a361d,0bdf5e5e38583414
betterbp,C2,FL nonattendance-risk ranking,2,402,356,356,356,268,0.8856,0.8856,1.0,1.0,2,0.55343,0.22178,0.35554,0.2491,48,36e8f7612e505a9f,5ab4be967d473f19
betterbp,C2,FL nonattendance-risk ranking,3,402,344,344,344,268,0.8557,0.8557,1.0,1.0,2,0.54516,0.21187,0.35558,0.24922,48,bea07a34f3f3218e,0eb36d6097e76e77
betterbp,C2,FL nonattendance-risk ranking,4,402,348,348,348,268,0.8657,0.8657,1.0,1.0,2,0.55944,0.23212,0.35559,0.24911,48,7c6202ec0d0bce10,13792b0dd2389551
betterbp,C2,FL nonattendance-risk ranking,5,402,341,341,341,268,0.8483,0.8483,1.0,1.0,2,0.5638,0.20394,0.35557,0.24906,48,0dbc9372be56195a,424305727855418e
betterbp,C2,FL nonattendance-risk ranking,6,402,338,338,338,268,0.8408,0.8408,1.0,1.0,2,0.55734,0.22581,0.35558,0.24912,48,5a24c2b64b3edacb,af30eecc3e95b7d4
betterbp,C2,FL nonattendance-risk ranking,7,402,343,343,343,268,0.8532,0.8532,1.0,1.0,2,0.55333,0.21454,0.35554,0.24914,48,822cb027a248368d,9a10f3c11926d2c7
betterbp,C2,FL nonattendance-risk ranking,8,402,349,349,349,268,0.8682,0.8682,1.0,1.0,2,0.56856,0.22037,0.35561,0.24915,48,59e923c484c61df2,6088296cae2a8a7f
betterbp,C2,FL nonattendance-risk ranking,9,402,340,340,340,268,0.8458,0.8458,1.0,1.0,2,0.55644,0.23202,0.35561,0.24921,48,2b3a59c17fc918ed,35aad6bbe68468d4
betterbp,C2,FL nonattendance-risk ranking,10,402,356,356,356,268,0.8856,0.8856,1.0,1.0,2,0.5413,0.21206,0.35561,0.24924,48,bf8d0f58469d734d,8be1b73454d8b19d
betterbp,C2,FL nonattendance-risk ranking,11,402,347,347,347,268,0.8632,0.8632,1.0,1.0,2,0.56576,0.20375,0.35559,0.24911,48,487fa6cbad4f43bd,b673ad40560984ea
betterbp,C2,FL nonattendance-risk ranking,12,402,344,344,344,268,0.8557,0.8557,1.0,1.0,2,0.55874,0.21316,0.35558,0.24914,48,8dcb3734e6ff87a7,74b175402dc1eee4
betterbp,C2,FL nonattendance-risk ranking,13,402,350,350,350,268,0.8706,0.8706,1.0,1.0,2,0.55669,0.2317,0.35551,0.24898,48,77568893a879e6dc,1b1839a9c3658cc7
betterbp,C2,FL nonattendance-risk ranking,14,402,350,350,350,268,0.8706,0.8706,1.0,1.0,2,0.55538,0.21043,0.35556,0.24903,48,a8e9a139c7af2caa,0c307b29606cd330
