experiment,seed,scenario,scenario_label,round,n_attend,participation_rate,active_clients,auroc_holdout,pr_auc_holdout,ece_holdout,comm_cost_bidir,calibration
cimas_cold,7,C0,No incentive,1,4599,0.4545,23,0.78684,0.84329,0.11514,966,DR_primary
cimas_cold,7,C0,No incentive,2,4560,0.4506,23,0.78633,0.84327,0.11327,966,DR_primary
cimas_cold,7,C0,No incentive,3,4549,0.4496,23,0.78628,0.84273,0.11429,966,DR_primary
cimas_cold,7,C0,No incentive,4,4585,0.4531,23,0.78589,0.84251,0.11441,966,DR_primary
cimas_cold,7,C0,No incentive,5,4657,0.4602,23,0.78643,0.84306,0.1125,966,DR_primary
cimas_cold,7,C0,No incentive,6,4654,0.4599,23,0.78782,0.84387,0.11715,966,DR_primary
cimas_cold,7,C0,No incentive,7,4638,0.4583,23,0.78587,0.8426,0.11354,966,DR_primary
cimas_cold,7,C0,No incentive,8,4527,0.4474,23,0.78633,0.84289,0.1157,966,DR_primary
cimas_cold,7,C0,No incentive,9,4525,0.4472,23,0.78655,0.84245,0.11647,966,DR_primary
cimas_cold,7,C0,No incentive,10,4541,0.4488,23,0.78586,0.8423,0.11323,966,DR_primary
cimas_cold,7,C0,No incentive,11,4626,0.4572,23,0.78615,0.84239,0.1128,966,DR_primary
cimas_cold,7,C0,No incentive,12,4560,0.4506,23,0.78597,0.84247,0.11179,966,DR_primary
cimas_cold,7,C0,No incentive,13,4628,0.4574,23,0.7868,0.84322,0.11668,966,DR_primary
cimas_cold,7,C0,No incentive,14,4615,0.4561,23,0.78651,0.84289,0.11712,966,DR_primary
cimas_cold,7,C0,No incentive,15,4492,0.4439,23,0.78647,0.84276,0.11295,966,DR_primary
cimas_cold,7,C0,No incentive,16,4606,0.4552,23,0.78683,0.84294,0.11412,966,DR_primary
cimas_cold,7,C0,No incentive,17,4651,0.4596,23,0.78618,0.8429,0.11268,966,DR_primary
cimas_cold,7,C0,No incentive,18,4618,0.4564,23,0.78651,0.84281,0.11512,966,DR_primary
cimas_cold,7,C0,No incentive,19,4464,0.4412,23,0.78662,0.84298,0.11479,966,DR_primary
cimas_cold,7,C0,No incentive,20,4502,0.4449,23,0.78626,0.84258,0.11471,966,DR_primary
cimas_cold,7,C0,No incentive,21,4574,0.452,23,0.78661,0.84319,0.11436,966,DR_primary
cimas_cold,7,C0,No incentive,22,4641,0.4586,23,0.78668,0.84328,0.11636,966,DR_primary
cimas_cold,7,C0,No incentive,23,4562,0.4508,23,0.7867,0.84303,0.11334,966,DR_primary
cimas_cold,7,C0,No incentive,24,4538,0.4485,23,0.78685,0.84303,0.11691,966,DR_primary
cimas_cold,7,C0,No incentive,25,4586,0.4532,23,0.786,0.84294,0.1117,966,DR_primary
cimas_cold,7,C0,No incentive,26,4609,0.4555,23,0.78665,0.84308,0.11741,966,DR_primary
cimas_cold,7,C0,No incentive,27,4626,0.4572,23,0.78589,0.84252,0.11118,966,DR_primary
cimas_cold,7,C0,No incentive,28,4568,0.4514,23,0.7864,0.84291,0.11439,966,DR_primary
cimas_cold,7,C0,No incentive,29,4593,0.4539,23,0.78633,0.843,0.11386,966,DR_primary
cimas_cold,7,C0,No incentive,30,4631,0.4577,23,0.78591,0.84223,0.11302,966,DR_primary
cimas_cold,7,C1,Random allocation,1,5040,0.4981,23,0.78701,0.84351,0.11574,966,DR_primary
cimas_cold,7,C1,Random allocation,2,5021,0.4962,23,0.78626,0.84325,0.11236,966,DR_primary
cimas_cold,7,C1,Random allocation,3,5002,0.4943,23,0.78653,0.84283,0.1147,966,DR_primary
cimas_cold,7,C1,Random allocation,4,5040,0.4981,23,0.78583,0.84236,0.11293,966,DR_primary
cimas_cold,7,C1,Random allocation,5,5100,0.504,23,0.78648,0.84304,0.11414,966,DR_primary
cimas_cold,7,C1,Random allocation,6,5093,0.5033,23,0.78771,0.84375,0.11809,966,DR_primary
cimas_cold,7,C1,Random allocation,7,5095,0.5035,23,0.78609,0.84284,0.11261,966,DR_primary
cimas_cold,7,C1,Random allocation,8,5026,0.4967,23,0.78664,0.84307,0.1149,966,DR_primary
cimas_cold,7,C1,Random allocation,9,4991,0.4932,23,0.78639,0.84261,0.11655,966,DR_primary
cimas_cold,7,C1,Random allocation,10,5043,0.4984,23,0.78592,0.84241,0.11166,966,DR_primary
cimas_cold,7,C1,Random allocation,11,5077,0.5017,23,0.78613,0.84243,0.11408,966,DR_primary
cimas_cold,7,C1,Random allocation,12,4996,0.4937,23,0.78612,0.84254,0.11314,966,DR_primary
