experiment,seed,scenario,scenario_label,round,n_min_attend,n_attend_vm,active_clients,auroc_holdout,comm_cost_bidir
cimas_cold_vm,7,C0,No incentive,1,5017,4599,23,0.78684,966
cimas_cold_vm,7,C1,Random allocation,1,5017,5017,23,0.787,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,1,5017,5017,23,0.78726,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,1,5017,5017,23,0.78726,966
cimas_cold_vm,7,C0,No incentive,2,5010,4560,23,0.78633,966
cimas_cold_vm,7,C1,Random allocation,2,5010,5010,23,0.78626,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,2,5010,5010,23,0.7861,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,2,5010,5010,23,0.7861,966
cimas_cold_vm,7,C0,No incentive,3,5002,4549,23,0.78628,966
cimas_cold_vm,7,C1,Random allocation,3,5002,5002,23,0.78653,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,3,5002,5002,23,0.78618,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,3,5002,5002,23,0.78611,966
cimas_cold_vm,7,C0,No incentive,4,5036,4585,23,0.78589,966
cimas_cold_vm,7,C1,Random allocation,4,5036,5036,23,0.78583,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,4,5036,5036,23,0.78577,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,4,5036,5036,23,0.78577,966
cimas_cold_vm,7,C0,No incentive,5,5100,4657,23,0.78643,966
cimas_cold_vm,7,C1,Random allocation,5,5100,5100,23,0.78648,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,5,5100,5100,23,0.78613,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,5,5100,5100,23,0.78619,966
cimas_cold_vm,7,C0,No incentive,6,5093,4654,23,0.78782,966
cimas_cold_vm,7,C1,Random allocation,6,5093,5093,23,0.78771,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,6,5093,5093,23,0.78743,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,6,5093,5093,23,0.78747,966
cimas_cold_vm,7,C0,No incentive,7,5095,4638,23,0.78587,966
cimas_cold_vm,7,C1,Random allocation,7,5095,5095,23,0.78609,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,7,5095,5095,23,0.78608,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,7,5095,5095,23,0.78608,966
cimas_cold_vm,7,C0,No incentive,8,4993,4527,23,0.78633,966
cimas_cold_vm,7,C1,Random allocation,8,4993,4993,23,0.78664,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,8,4993,4993,23,0.78637,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,8,4993,4993,23,0.78637,966
cimas_cold_vm,7,C0,No incentive,9,4988,4525,23,0.78655,966
cimas_cold_vm,7,C1,Random allocation,9,4988,4988,23,0.78639,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,9,4988,4988,23,0.78627,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,9,4988,4988,23,0.78627,966
cimas_cold_vm,7,C0,No incentive,10,5040,4541,23,0.78586,966
cimas_cold_vm,7,C1,Random allocation,10,5040,5040,23,0.78591,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,10,5040,5040,23,0.78596,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,10,5040,5040,23,0.78596,966
cimas_cold_vm,7,C0,No incentive,11,5047,4626,23,0.78615,966
cimas_cold_vm,7,C1,Random allocation,11,5047,5047,23,0.78605,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,11,5047,5047,23,0.78605,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,11,5047,5047,23,0.78605,966
cimas_cold_vm,7,C0,No incentive,12,4996,4560,23,0.78597,966
cimas_cold_vm,7,C1,Random allocation,12,4996,4996,23,0.78612,966
cimas_cold_vm,7,C2,FL nonattendance-risk ranking,12,4996,4996,23,0.78599,966
cimas_cold_vm,7,C3,Cross-fitted DR uplift ranking,12,4996,4996,23,0.78598,966
cimas_cold_vm,7,C0,No incentive,13,5090,4628,23,0.7868,966
