model_seed,crn_idx,scenario,round,n_attend,participation_clinical,active_clients,auroc,pr_auc,comm_cost_params,comm_cost_bytes,chain_hash
7,0,C0,1,336,0.8358,2,0.56315,0.20721,48,192,3dc72d6819408ecc
7,0,C0,2,332,0.8259,2,0.54802,0.23457,48,192,ea04cd143d17441a
7,0,C0,3,322,0.801,2,0.55759,0.18534,48,192,a623814588b4986d
7,0,C0,4,340,0.8458,2,0.55899,0.19055,48,192,479eec8a414217d2
7,0,C0,5,319,0.7935,2,0.55283,0.16505,48,192,42d94e10586defba
7,0,C0,6,328,0.8159,2,0.56345,0.22735,48,192,68c209c7c93fa644
7,0,C0,7,321,0.7985,2,0.55423,0.1872,48,192,0806d3156c9a15ec
7,0,C0,8,328,0.8159,2,0.55298,0.22934,48,192,b397cdf28dc1baf4
7,0,C0,9,333,0.8284,2,0.5425,0.21466,48,192,80621604275e4e02
7,0,C0,10,328,0.8159,2,0.55879,0.19714,48,192,906c213bcfa96fe4
7,0,C0,11,328,0.8159,2,0.54641,0.20106,48,192,7d1e8af3a979daad
7,0,C0,12,332,0.8259,2,0.56265,0.21044,48,192,ed75db2b1cc2a345
7,0,C0,13,338,0.8408,2,0.56105,0.20414,48,192,af55330c457a20be
7,0,C0,14,323,0.8035,2,0.54581,0.17989,48,192,c8c484f04657c6ab
7,0,C0,15,322,0.801,2,0.55734,0.22231,48,192,d57d4405530578bb
7,0,C0,16,313,0.7786,2,0.56806,0.20195,48,192,6a1af621894fb394
7,0,C0,17,336,0.8358,2,0.55443,0.19711,48,192,45181aa901f6cc3c
7,0,C0,18,330,0.8209,2,0.55764,0.21325,48,192,6f40463da7b569b8
7,0,C0,19,320,0.796,2,0.53939,0.21507,48,192,8f79ca740637d7ac
7,0,C0,20,329,0.8184,2,0.54842,0.23537,48,192,c69ad37806729c03
7,0,C1,1,356,0.8856,2,0.56591,0.22858,48,192,d0ead1ae2ee8a7cc
7,0,C1,2,351,0.8731,2,0.54631,0.21824,48,192,969c0bb542a68e09
7,0,C1,3,342,0.8507,2,0.56135,0.22594,48,192,0ed0334f7c8e1ecd
7,0,C1,4,360,0.8955,2,0.5615,0.22122,48,192,8c010e8eea193707
7,0,C1,5,329,0.8184,2,0.55423,0.16598,48,192,36b1e244fda5eaf9
7,0,C1,6,339,0.8433,2,0.5623,0.21342,48,192,6399975b9f0a9f5c
7,0,C1,7,342,0.8507,2,0.55528,0.20161,48,192,43330df54d56b5f5
7,0,C1,8,350,0.8706,2,0.55067,0.21743,48,192,5deff7069f7d279f
7,0,C1,9,350,0.8706,2,0.53188,0.20859,48,192,be1c4ab4e37314a0
7,0,C1,10,351,0.8731,2,0.5617,0.23499,48,192,11a95ee18777fa88
7,0,C1,11,354,0.8806,2,0.55904,0.21886,48,192,7899cf3881f5c0a4
7,0,C1,12,343,0.8532,2,0.55197,0.22976,48,192,76e3992ae97688a3
7,0,C1,13,353,0.8781,2,0.56586,0.24056,48,192,b74d1fed4d82111e
7,0,C1,14,333,0.8284,2,0.54601,0.19964,48,192,69d9e460732eb84d
7,0,C1,15,335,0.8333,2,0.55719,0.2273,48,192,d4f14ac6b8bdc710
7,0,C1,16,339,0.8433,2,0.55964,0.19417,48,192,86c34884ca18182d
7,0,C1,17,356,0.8856,2,0.56902,0.21279,48,192,f87afd6698c87786
7,0,C1,18,348,0.8657,2,0.55994,0.20048,48,192,ee8b364fffac99aa
7,0,C1,19,340,0.8458,2,0.53874,0.20713,48,192,37b4c22ebc768b67
7,0,C1,20,350,0.8706,2,0.54135,0.23239,48,192,806d7b81494755f6
7,0,C2,1,358,0.8905,2,0.56616,0.22393,48,192,66211fce7b536466
7,0,C2,2,356,0.8856,2,0.55278,0.24436,48,192,f20c0c5ecbea727d
