model_seed,crn_idx,scenario,round,n_attend,participation_rate,active_clients,auroc_holdout,pr_auc_holdout,comm_cost_params,comm_cost_bytes,calibration
7,0,C0,1,4565,0.4511,23,0.78684,0.84324,966,3864,DR_primary
7,0,C1,1,5009,0.495,23,0.78717,0.84328,966,3864,DR_primary
7,0,C2,1,5032,0.4973,23,0.78756,0.84363,966,3864,DR_primary
7,0,C3,1,5032,0.4973,23,0.78756,0.84363,966,3864,DR_primary
7,0,C0,2,4606,0.4552,23,0.78679,0.84337,966,3864,DR_primary
7,0,C1,2,5062,0.5002,23,0.78652,0.84327,966,3864,DR_primary
7,0,C2,2,5095,0.5035,23,0.7867,0.84346,966,3864,DR_primary
7,0,C3,2,5095,0.5035,23,0.7867,0.84346,966,3864,DR_primary
7,0,C0,3,4654,0.4599,23,0.7879,0.84348,966,3864,DR_primary
7,0,C1,3,5088,0.5028,23,0.78783,0.8434,966,3864,DR_primary
7,0,C2,3,5110,0.505,23,0.78787,0.84355,966,3864,DR_primary
7,0,C3,3,5110,0.505,23,0.78787,0.84355,966,3864,DR_primary
7,0,C0,4,4611,0.4557,23,0.78706,0.84351,966,3864,DR_primary
7,0,C1,4,5067,0.5007,23,0.7867,0.84308,966,3864,DR_primary
7,0,C2,4,5048,0.4989,23,0.78663,0.84318,966,3864,DR_primary
7,0,C3,4,5048,0.4989,23,0.78663,0.84318,966,3864,DR_primary
7,0,C0,5,4503,0.445,23,0.78676,0.84297,966,3864,DR_primary
7,0,C1,5,4975,0.4916,23,0.78656,0.84293,966,3864,DR_primary
7,0,C2,5,4980,0.4921,23,0.78672,0.84309,966,3864,DR_primary
7,0,C3,5,4980,0.4921,23,0.78672,0.84309,966,3864,DR_primary
7,0,C0,6,4556,0.4502,23,0.78745,0.84349,966,3864,DR_primary
7,0,C1,6,5010,0.4951,23,0.78734,0.8437,966,3864,DR_primary
7,0,C2,6,5006,0.4947,23,0.78728,0.84361,966,3864,DR_primary
7,0,C3,6,5006,0.4947,23,0.78728,0.84361,966,3864,DR_primary
7,0,C0,7,4633,0.4579,23,0.78718,0.84326,966,3864,DR_primary
7,0,C1,7,5061,0.5001,23,0.78713,0.84333,966,3864,DR_primary
7,0,C2,7,5073,0.5013,23,0.78706,0.84321,966,3864,DR_primary
7,0,C3,7,5073,0.5013,23,0.78706,0.84321,966,3864,DR_primary
7,0,C0,8,4561,0.4507,23,0.78682,0.84301,966,3864,DR_primary
7,0,C1,8,5033,0.4974,23,0.78665,0.84312,966,3864,DR_primary
7,0,C2,8,5047,0.4988,23,0.78676,0.8432,966,3864,DR_primary
7,0,C3,8,5047,0.4988,23,0.78676,0.8432,966,3864,DR_primary
7,0,C0,9,4616,0.4562,23,0.78674,0.84308,966,3864,DR_primary
7,0,C1,9,5077,0.5017,23,0.78699,0.84327,966,3864,DR_primary
7,0,C2,9,5083,0.5023,23,0.78683,0.84333,966,3864,DR_primary
7,0,C3,9,5083,0.5023,23,0.78683,0.84333,966,3864,DR_primary
7,0,C0,10,4578,0.4524,23,0.78639,0.84293,966,3864,DR_primary
7,0,C1,10,5029,0.497,23,0.7867,0.84312,966,3864,DR_primary
7,0,C2,10,5023,0.4964,23,0.78661,0.84305,966,3864,DR_primary
7,0,C3,10,5023,0.4964,23,0.78661,0.84305,966,3864,DR_primary
7,0,C0,11,4571,0.4517,23,0.78716,0.84352,966,3864,DR_primary
7,0,C1,11,5006,0.4947,23,0.78691,0.84336,966,3864,DR_primary
7,0,C2,11,5008,0.4949,23,0.78697,0.84353,966,3864,DR_primary
7,0,C3,11,5008,0.4949,23,0.78697,0.84353,966,3864,DR_primary
7,0,C0,12,4593,0.4539,23,0.78756,0.84388,966,3864,DR_primary
7,0,C1,12,5060,0.5,23,0.78753,0.84372,966,3864,DR_primary
7,0,C2,12,5067,0.5007,23,0.78741,0.84378,966,3864,DR_primary
7,0,C3,12,5067,0.5007,23,0.78741,0.84378,966,3864,DR_primary
7,0,C0,13,4694,0.4639,23,0.78679,0.84324,966,3864,DR_primary
7,0,C1,13,5174,0.5113,23,0.78705,0.84327,966,3864,DR_primary
