model_seed,crn_idx,scenario,round,n_attend,participation_rate,active_clients,auroc_holdout,pr_auc_holdout,comm_cost_params,comm_cost_bytes,calibration,n_attend_vm,n_min_within_prov
7,0,C0,1,4565,0.4511,23,0.78684,0.84324,966,3864,DR_primary,4565,5009
7,0,C1,1,4967,0.4909,23,0.78708,0.84321,966,3864,DR_primary,4967,5009
7,0,C2,1,4967,0.4909,23,0.78744,0.84355,966,3864,DR_primary,4967,5009
7,0,C3,1,4967,0.4909,23,0.7876,0.84366,966,3864,DR_primary,4967,5009
7,0,C0,2,4606,0.4552,23,0.78679,0.84337,966,3864,DR_primary,4606,5062
7,0,C1,2,5046,0.4987,23,0.78656,0.84331,966,3864,DR_primary,5046,5062
7,0,C2,2,5046,0.4987,23,0.78671,0.84345,966,3864,DR_primary,5046,5062
7,0,C3,2,5046,0.4987,23,0.78673,0.84348,966,3864,DR_primary,5046,5062
7,0,C0,3,4654,0.4599,23,0.7879,0.84348,966,3864,DR_primary,4654,5088
7,0,C1,3,5060,0.5,23,0.78782,0.84339,966,3864,DR_primary,5060,5088
7,0,C2,3,5060,0.5,23,0.78779,0.84347,966,3864,DR_primary,5060,5088
7,0,C3,3,5060,0.5,23,0.7879,0.84357,966,3864,DR_primary,5060,5088
7,0,C0,4,4611,0.4557,23,0.78706,0.84351,966,3864,DR_primary,4611,5048
7,0,C1,4,5025,0.4966,23,0.78664,0.84308,966,3864,DR_primary,5025,5048
7,0,C2,4,5025,0.4966,23,0.7865,0.84303,966,3864,DR_primary,5025,5048
7,0,C3,4,5025,0.4966,23,0.78666,0.84312,966,3864,DR_primary,5025,5048
7,0,C0,5,4503,0.445,23,0.78676,0.84297,966,3864,DR_primary,4503,4975
7,0,C1,5,4932,0.4874,23,0.78652,0.84291,966,3864,DR_primary,4932,4975
7,0,C2,5,4932,0.4874,23,0.78684,0.84318,966,3864,DR_primary,4932,4975
7,0,C3,5,4932,0.4874,23,0.78679,0.84311,966,3864,DR_primary,4932,4975
7,0,C0,6,4556,0.4502,23,0.78745,0.84349,966,3864,DR_primary,4556,5006
7,0,C1,6,4970,0.4912,23,0.78739,0.84379,966,3864,DR_primary,4970,5006
7,0,C2,6,4970,0.4912,23,0.78721,0.84353,966,3864,DR_primary,4970,5006
7,0,C3,6,4970,0.4912,23,0.78725,0.8436,966,3864,DR_primary,4970,5006
7,0,C0,7,4633,0.4579,23,0.78718,0.84326,966,3864,DR_primary,4633,5061
7,0,C1,7,5027,0.4968,23,0.78711,0.84331,966,3864,DR_primary,5027,5061
7,0,C2,7,5027,0.4968,23,0.78706,0.84314,966,3864,DR_primary,5027,5061
7,0,C3,7,5027,0.4968,23,0.78704,0.84318,966,3864,DR_primary,5027,5061
7,0,C0,8,4561,0.4507,23,0.78682,0.84301,966,3864,DR_primary,4561,5033
7,0,C1,8,5008,0.4949,23,0.78671,0.84318,966,3864,DR_primary,5008,5033
7,0,C2,8,5008,0.4949,23,0.78685,0.84329,966,3864,DR_primary,5008,5033
7,0,C3,8,5008,0.4949,23,0.78674,0.84318,966,3864,DR_primary,5008,5033
7,0,C0,9,4616,0.4562,23,0.78674,0.84308,966,3864,DR_primary,4616,5077
7,0,C1,9,5045,0.4986,23,0.78696,0.84324,966,3864,DR_primary,5045,5077
7,0,C2,9,5045,0.4986,23,0.78684,0.84337,966,3864,DR_primary,5045,5077
7,0,C3,9,5045,0.4986,23,0.78675,0.84332,966,3864,DR_primary,5045,5077
7,0,C0,10,4578,0.4524,23,0.78639,0.84293,966,3864,DR_primary,4578,5023
7,0,C1,10,5001,0.4942,23,0.78667,0.84309,966,3864,DR_primary,5001,5023
7,0,C2,10,5001,0.4942,23,0.78667,0.84309,966,3864,DR_primary,5001,5023
7,0,C3,10,5001,0.4942,23,0.78672,0.84316,966,3864,DR_primary,5001,5023
7,0,C0,11,4571,0.4517,23,0.78716,0.84352,966,3864,DR_primary,4571,5006
7,0,C1,11,4970,0.4912,23,0.78695,0.84336,966,3864,DR_primary,4970,5006
7,0,C2,11,4970,0.4912,23,0.78698,0.84351,966,3864,DR_primary,4970,5006
7,0,C3,11,4970,0.4912,23,0.78696,0.84347,966,3864,DR_primary,4970,5006
7,0,C0,12,4593,0.4539,23,0.78756,0.84388,966,3864,DR_primary,4593,5060
7,0,C1,12,5028,0.4969,23,0.78749,0.84366,966,3864,DR_primary,5028,5060
7,0,C2,12,5028,0.4969,23,0.78741,0.84381,966,3864,DR_primary,5028,5060
7,0,C3,12,5028,0.4969,23,0.78737,0.84374,966,3864,DR_primary,5028,5060
7,0,C0,13,4694,0.4639,23,0.78679,0.84324,966,3864,DR_primary,4694,5161
7,0,C1,13,5129,0.5069,23,0.78711,0.84332,966,3864,DR_primary,5129,5161
7,0,C2,13,5129,0.5069,23,0.78722,0.84342,966,3864,DR_primary,5129,5161
7,0,C3,13,5129,0.5069,23,0.78698,0.84326,966,3864,DR_primary,5129,5161
7,0,C0,14,4626,0.4572,23,0.78641,0.84284,966,3864,DR_primary,4626,5049
7,0,C1,14,5021,0.4962,23,0.78654,0.84277,966,3864,DR_primary,5021,5049
7,0,C2,14,5021,0.4962,23,0.7866,0.84298,966,3864,DR_primary,5021,5049
7,0,C3,14,5021,0.4962,23,0.78657,0.84301,966,3864,DR_primary,5021,5049
7,0,C0,15,4649,0.4594,23,0.78603,0.84252,966,3864,DR_primary,4649,5098
7,0,C1,15,5067,0.5007,23,0.78625,0.84268,966,3864,DR_primary,5067,5098
7,0,C2,15,5067,0.5007,23,0.78622,0.84279,966,3864,DR_primary,5067,5098
7,0,C3,15,5067,0.5007,23,0.78613,0.84272,966,3864,DR_primary,5067,5098
7,0,C0,16,4590,0.4536,23,0.78697,0.84297,966,3864,DR_primary,4590,5045
7,0,C1,16,5015,0.4956,23,0.78674,0.8429,966,3864,DR_primary,5015,5045
7,0,C2,16,5015,0.4956,23,0.78706,0.84312,966,3864,DR_primary,5015,5045
7,0,C3,16,5015,0.4956,23,0.78696,0.84304,966,3864,DR_primary,5015,5045
7,0,C0,17,4601,0.4547,23,0.78713,0.84298,966,3864,DR_primary,4601,5086
7,0,C1,17,5055,0.4996,23,0.78726,0.84303,966,3864,DR_primary,5055,5086
7,0,C2,17,5055,0.4996,23,0.78702,0.84313,966,3864,DR_primary,5055,5086
7,0,C3,17,5055,0.4996,23,0.787,0.84312,966,3864,DR_primary,5055,5086
7,0,C0,18,4652,0.4597,23,0.78711,0.84328,966,3864,DR_primary,4652,5137
7,0,C1,18,5097,0.5037,23,0.78729,0.84341,966,3864,DR_primary,5097,5137
7,0,C2,18,5097,0.5037,23,0.78688,0.84318,966,3864,DR_primary,5097,5137
7,0,C3,18,5097,0.5037,23,0.78701,0.8433,966,3864,DR_primary,5097,5137
7,0,C0,19,4625,0.4571,23,0.78808,0.84407,966,3864,DR_primary,4625,5085
7,0,C1,19,5059,0.5,23,0.78774,0.84392,966,3864,DR_primary,5059,5085
7,0,C2,19,5059,0.5,23,0.78778,0.84396,966,3864,DR_primary,5059,5085
7,0,C3,19,5059,0.5,23,0.78782,0.84399,966,3864,DR_primary,5059,5085
7,0,C0,20,4596,0.4542,23,0.78719,0.84346,966,3864,DR_primary,4596,5060
7,0,C1,20,5026,0.4967,23,0.78715,0.84367,966,3864,DR_primary,5026,5060
7,0,C2,20,5026,0.4967,23,0.78695,0.84355,966,3864,DR_primary,5026,5060
7,0,C3,20,5026,0.4967,23,0.78682,0.84348,966,3864,DR_primary,5026,5060
7,0,C0,21,4661,0.4606,23,0.78678,0.84312,966,3864,DR_primary,4661,5074
7,0,C1,21,5023,0.4964,23,0.78694,0.84322,966,3864,DR_primary,5023,5074
7,0,C2,21,5023,0.4964,23,0.7868,0.84327,966,3864,DR_primary,5023,5074
7,0,C3,21,5023,0.4964,23,0.78698,0.84341,966,3864,DR_primary,5023,5074
7,0,C0,22,4659,0.4604,23,0.78704,0.84298,966,3864,DR_primary,4659,5110
7,0,C1,22,5082,0.5022,23,0.78701,0.84313,966,3864,DR_primary,5082,5110
7,0,C2,22,5082,0.5022,23,0.787,0.84329,966,3864,DR_primary,5082,5110
7,0,C3,22,5082,0.5022,23,0.787,0.84327,966,3864,DR_primary,5082,5110
7,0,C0,23,4552,0.4498,23,0.78749,0.84357,966,3864,DR_primary,4552,5018
7,0,C1,23,4983,0.4924,23,0.78702,0.84323,966,3864,DR_primary,4983,5018
7,0,C2,23,4983,0.4924,23,0.78728,0.84355,966,3864,DR_primary,4983,5018
7,0,C3,23,4983,0.4924,23,0.78731,0.8436,966,3864,DR_primary,4983,5018
7,0,C0,24,4627,0.4573,23,0.7874,0.84377,966,3864,DR_primary,4627,5083
7,0,C1,24,5057,0.4998,23,0.78721,0.8436,966,3864,DR_primary,5057,5083
7,0,C2,24,5057,0.4998,23,0.78726,0.84369,966,3864,DR_primary,5057,5083
7,0,C3,24,5057,0.4998,23,0.78718,0.84365,966,3864,DR_primary,5057,5083
7,0,C0,25,4543,0.449,23,0.78657,0.84306,966,3864,DR_primary,4543,5003
7,0,C1,25,4973,0.4915,23,0.78633,0.84267,966,3864,DR_primary,4973,5003
7,0,C2,25,4973,0.4915,23,0.78621,0.84273,966,3864,DR_primary,4973,5003
7,0,C3,25,4973,0.4915,23,0.78624,0.84271,966,3864,DR_primary,4973,5003
7,0,C0,26,4639,0.4584,23,0.78691,0.84282,966,3864,DR_primary,4639,5084
7,0,C1,26,5047,0.4988,23,0.78692,0.8432,966,3864,DR_primary,5047,5084
7,0,C2,26,5047,0.4988,23,0.78674,0.84304,966,3864,DR_primary,5047,5084
7,0,C3,26,5047,0.4988,23,0.7868,0.84306,966,3864,DR_primary,5047,5084
7,0,C0,27,4603,0.4549,23,0.78663,0.84273,966,3864,DR_primary,4603,5051
7,0,C1,27,5021,0.4962,23,0.7868,0.84281,966,3864,DR_primary,5021,5051
7,0,C2,27,5021,0.4962,23,0.78656,0.84278,966,3864,DR_primary,5021,5051
7,0,C3,27,5021,0.4962,23,0.78659,0.84281,966,3864,DR_primary,5021,5051
7,0,C0,28,4558,0.4504,23,0.78681,0.84307,966,3864,DR_primary,4558,5012
7,0,C1,28,4974,0.4916,23,0.7872,0.84334,966,3864,DR_primary,4974,5012
7,0,C2,28,4974,0.4916,23,0.78697,0.84335,966,3864,DR_primary,4974,5012
7,0,C3,28,4974,0.4916,23,0.78702,0.84342,966,3864,DR_primary,4974,5012
7,0,C0,29,4579,0.4525,23,0.78664,0.84229,966,3864,DR_primary,4579,5028
7,0,C1,29,5010,0.4951,23,0.78652,0.84235,966,3864,DR_primary,5010,5028
7,0,C2,29,5010,0.4951,23,0.78636,0.84236,966,3864,DR_primary,5010,5028
7,0,C3,29,5010,0.4951,23,0.78647,0.84251,966,3864,DR_primary,5010,5028
7,0,C0,30,4701,0.4646,23,0.78609,0.84257,966,3864,DR_primary,4701,5122
7,0,C1,30,5092,0.5032,23,0.78631,0.84272,966,3864,DR_primary,5092,5122
7,0,C2,30,5092,0.5032,23,0.7863,0.84286,966,3864,DR_primary,5092,5122
7,0,C3,30,5092,0.5032,23,0.78637,0.84288,966,3864,DR_primary,5092,5122
7,1,C0,1,4498,0.4445,23,0.78758,0.84394,966,3864,DR_primary,4498,4983
7,1,C1,1,4943,0.4885,23,0.7874,0.84385,966,3864,DR_primary,4943,4983
7,1,C2,1,4943,0.4885,23,0.78777,0.84412,966,3864,DR_primary,4943,4983
7,1,C3,1,4943,0.4885,23,0.78759,0.84386,966,3864,DR_primary,4943,4983
7,1,C0,2,4577,0.4523,23,0.78665,0.84329,966,3864,DR_primary,4577,5047
7,1,C1,2,5021,0.4962,23,0.78684,0.84335,966,3864,DR_primary,5021,5047
7,1,C2,2,5021,0.4962,23,0.78676,0.8433,966,3864,DR_primary,5021,5047
7,1,C3,2,5021,0.4962,23,0.78657,0.84316,966,3864,DR_primary,5021,5047
7,1,C0,3,4595,0.4541,23,0.78697,0.84344,966,3864,DR_primary,4595,5036
7,1,C1,3,5006,0.4947,23,0.78704,0.84342,966,3864,DR_primary,5006,5036
