scenario,round,participation_rate,active_clients,auroc,pr_auc,comm_cost_params,comm_cost_bytes,calibration,chain_hash
C0,1,0.4535,23,0.7848,0.83901,966,3864,DR_primary,682d68b50726a409
C0,2,0.4558,23,0.78475,0.83898,966,3864,DR_primary,c20092df5424436f
C0,3,0.45,23,0.7854,0.8396,966,3864,DR_primary,436c7a48c08adf92
C0,4,0.4532,23,0.78396,0.83829,966,3864,DR_primary,ff1bf3dda4ce711c
C0,5,0.4482,23,0.78397,0.83774,966,3864,DR_primary,88bffde6b29c97a0
C0,6,0.4526,23,0.78434,0.83887,966,3864,DR_primary,4535f3106bcf9454
C0,7,0.4637,23,0.78613,0.83999,966,3864,DR_primary,70be8c2d0f8b4fd3
C0,8,0.449,23,0.78467,0.83843,966,3864,DR_primary,0a2bb44efb0268ff
C0,9,0.4532,23,0.78471,0.83888,966,3864,DR_primary,a21f298009176b1c
C0,10,0.4551,23,0.7842,0.83873,966,3864,DR_primary,d49e1721c8db76f9
C0,11,0.4532,23,0.78505,0.83912,966,3864,DR_primary,a8f6016a4db7fcc6
C0,12,0.4506,23,0.78491,0.83945,966,3864,DR_primary,adccaf08e99e4fe4
C0,13,0.4496,23,0.78477,0.83919,966,3864,DR_primary,e958ea4fbb512156
C0,14,0.4487,23,0.78476,0.83894,966,3864,DR_primary,e52761b1aad77c28
C0,15,0.4545,23,0.78497,0.83877,966,3864,DR_primary,fa52b3f9bb6867a1
C0,16,0.4573,23,0.78478,0.83903,966,3864,DR_primary,2880d66c1c743b0c
C0,17,0.4531,23,0.78524,0.83898,966,3864,DR_primary,6ef89ad21495660a
C0,18,0.4588,23,0.78513,0.83896,966,3864,DR_primary,cdcd9955e8f49eaf
C0,19,0.4539,23,0.78542,0.83975,966,3864,DR_primary,2ce0416de550f162
C0,20,0.4541,23,0.78496,0.83884,966,3864,DR_primary,30f403751d348ed7
C1,1,0.498,23,0.78453,0.83875,966,3864,DR_primary,0944419f9c64d606
C1,2,0.4973,23,0.78486,0.83904,966,3864,DR_primary,abcdc7d0dca16f46
C1,3,0.4955,23,0.7855,0.83955,966,3864,DR_primary,b62049cf31f366f5
C1,4,0.5008,23,0.78432,0.83849,966,3864,DR_primary,d3921bc04a00fda7
C1,5,0.497,23,0.7844,0.8381,966,3864,DR_primary,3d43d4a07f791a77
C1,6,0.5016,23,0.78433,0.83883,966,3864,DR_primary,827705bbd5272f59
C1,7,0.5094,23,0.7863,0.84024,966,3864,DR_primary,cc7045b70114b597
C1,8,0.496,23,0.78441,0.83827,966,3864,DR_primary,43f9ddaf40dd9af1
C1,9,0.499,23,0.78472,0.8389,966,3864,DR_primary,b7064f463d97ccfc
C1,10,0.4963,23,0.78421,0.83869,966,3864,DR_primary,9a271a9fb8884d0c
C1,11,0.5015,23,0.78497,0.83909,966,3864,DR_primary,66f1da430074ed01
C1,12,0.4947,23,0.78479,0.83946,966,3864,DR_primary,366849d87e857bd6
C1,13,0.4961,23,0.78514,0.83953,966,3864,DR_primary,c8e83461bfb73d3c
C1,14,0.4973,23,0.78464,0.8389,966,3864,DR_primary,b700ebcc96842a89
C1,15,0.5012,23,0.78499,0.83872,966,3864,DR_primary,1cad436d45a3ad75
C1,16,0.5071,23,0.78473,0.83919,966,3864,DR_primary,56a0ea2447cbf7c9
C1,17,0.5006,23,0.78504,0.83887,966,3864,DR_primary,3ad77c2498158b90
C1,18,0.5042,23,0.78519,0.83903,966,3864,DR_primary,2200473f9b1b6a8c
C1,19,0.4985,23,0.78546,0.83979,966,3864,DR_primary,1ad0ff869ee07eba
C1,20,0.5008,23,0.78529,0.83913,966,3864,DR_primary,b8444ae79b9cb718
C2,1,0.4977,23,0.78459,0.83892,966,3864,DR_primary,bc2341d60b88c3f9
C2,2,0.4982,23,0.7849,0.83908,966,3864,DR_primary,313e9c1195994104
C2,3,0.4953,23,0.78535,0.8396,966,3864,DR_primary,90dd0f678617895b
C2,4,0.4974,23,0.78409,0.83845,966,3864,DR_primary,0bb3ce5290956bda
C2,5,0.4945,23,0.78399,0.83796,966,3864,DR_primary,065652b184de7f36
C2,6,0.5019,23,0.78435,0.83892,966,3864,DR_primary,3e721bb0806df00e
C2,7,0.5089,23,0.78613,0.84025,966,3864,DR_primary,262eb54d82547105
C2,8,0.4956,23,0.78433,0.83837,966,3864,DR_primary,de2929ad9686a434
C2,9,0.4992,23,0.78453,0.83885,966,3864,DR_primary,9e901c698878b99d
C2,10,0.495,23,0.78409,0.83871,966,3864,DR_primary,00629eb47f6e6cba
C2,11,0.5006,23,0.78483,0.83915,966,3864,DR_primary,df5cb41108ed737b
C2,12,0.4952,23,0.78468,0.83943,966,3864,DR_primary,1cd00c6b651e1480
C2,13,0.4974,23,0.78477,0.83932,966,3864,DR_primary,ca2f02335267ad9e
C2,14,0.4956,23,0.78458,0.83904,966,3864,DR_primary,8bcc2e4bbec4201a
C2,15,0.5005,23,0.78481,0.83868,966,3864,DR_primary,82eb78f008f9963b
C2,16,0.5056,23,0.78464,0.83919,966,3864,DR_primary,4f6d5a01eaa67f75
C2,17,0.5004,23,0.78506,0.83902,966,3864,DR_primary,023dd289a7e15611
C2,18,0.503,23,0.78506,0.83902,966,3864,DR_primary,367736f142bad831
C2,19,0.5015,23,0.78541,0.83984,966,3864,DR_primary,c8b55c10a3b0ba56
C2,20,0.5011,23,0.78502,0.8392,966,3864,DR_primary,5ee2c2f4f2ed2de9
C3,1,0.4977,23,0.78459,0.83892,966,3864,DR_primary,83395c3e7191c625
C3,2,0.4982,23,0.7849,0.83908,966,3864,DR_primary,c469409dd97f4d89
C3,3,0.4953,23,0.78535,0.8396,966,3864,DR_primary,3bb0340ec3f5d67d
C3,4,0.4974,23,0.78409,0.83845,966,3864,DR_primary,4ad9a533d130d112
C3,5,0.4945,23,0.78399,0.83796,966,3864,DR_primary,49137fc5c45aaba6
C3,6,0.5019,23,0.78435,0.83892,966,3864,DR_primary,b7a5f04fc1636482
C3,7,0.5089,23,0.78613,0.84025,966,3864,DR_primary,fc40f8fac2f84168
C3,8,0.4956,23,0.78433,0.83837,966,3864,DR_primary,77ffc0b4a98a546d
C3,9,0.4992,23,0.78453,0.83885,966,3864,DR_primary,ca2173a413ff3ab2
C3,10,0.495,23,0.78409,0.83871,966,3864,DR_primary,cf8e653c7d0504a0
C3,11,0.5006,23,0.78483,0.83915,966,3864,DR_primary,1d2914d855265a5f
C3,12,0.4952,23,0.78468,0.83943,966,3864,DR_primary,3bc4d0077695afca
C3,13,0.4974,23,0.78477,0.83932,966,3864,DR_primary,71f889147517c6e8
C3,14,0.4956,23,0.78458,0.83904,966,3864,DR_primary,02146d009528ee29
C3,15,0.5005,23,0.78481,0.83868,966,3864,DR_primary,10858118174fd1e3
C3,16,0.5056,23,0.78464,0.83919,966,3864,DR_primary,02757de76135f1cd
C3,17,0.5004,23,0.78506,0.83902,966,3864,DR_primary,f97e5107422d84ce
C3,18,0.503,23,0.78506,0.83902,966,3864,DR_primary,8b0347ec76e619d4
C3,19,0.5015,23,0.78541,0.83984,966,3864,DR_primary,71e45ea4f6b64cb1
C3,20,0.5011,23,0.78502,0.8392,966,3864,DR_primary,3924e2c3f5ceba54
