dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,run_id
eicu,random_gauss,1,12.5,fedavg,True,7,0.83883,0.31609,0.75386,0.23682,0.7888867857142856,,0,0.279,976,w09
eicu,random_gauss,1,12.5,fedavg,True,11,0.9104,0.53811,0.83056,0.31581,0.8922557142857145,,0,0.276,976,w09
eicu,random_gauss,1,12.5,fedavg,True,19,0.88484,0.53007,0.80534,0.28946,0.8553585714285715,,0,0.283,976,w09
eicu,random_gauss,1,12.5,fedavg,True,23,0.81704,0.33786,0.73436,0.20531,0.7406742857142856,,0,0.271,976,w09
eicu,random_gauss,1,12.5,fedavg,True,37,0.87808,0.42067,0.81177,0.28851,0.8812057142857143,,0,0.27,976,w09
eicu,random_gauss,1,12.5,coord_median,True,7,0.89553,0.5067,0.81056,0.2973,0.8846135714285713,,0,0.274,976,w09
eicu,random_gauss,1,12.5,coord_median,True,11,0.8952,0.50201,0.80743,0.29256,0.8822239285714284,,0,0.275,976,w09
eicu,random_gauss,1,12.5,coord_median,True,19,0.89503,0.51811,0.81056,0.2973,0.8845957142857143,,0,0.271,976,w09
eicu,random_gauss,1,12.5,coord_median,True,23,0.89144,0.51352,0.81891,0.31057,0.8787982142857143,,0,0.272,976,w09
eicu,random_gauss,1,12.5,coord_median,True,37,0.89127,0.50173,0.80743,0.29256,0.8837410714285713,,0,0.271,976,w09
eicu,random_gauss,1,12.5,trimmed_mean,True,7,0.89453,0.50016,0.8137,0.30217,0.8841828571428572,,0,0.285,976,w09
eicu,random_gauss,1,12.5,trimmed_mean,True,11,0.89211,0.48496,0.80743,0.29256,0.8808389285714285,,0,0.274,976,w09
eicu,random_gauss,1,12.5,trimmed_mean,True,19,0.89244,0.50475,0.81265,0.30054,0.8825392857142856,,0,0.29,976,w09
eicu,random_gauss,1,12.5,trimmed_mean,True,23,0.88877,0.47774,0.8137,0.30217,0.8767639285714287,,0,0.286,976,w09
eicu,random_gauss,1,12.5,trimmed_mean,True,37,0.89119,0.49223,0.80848,0.29413,0.8843889285714285,,0,0.284,976,w09
eicu,random_gauss,1,12.5,krum,True,7,0.88985,0.44898,0.80221,0.2849,0.8818696428571428,,0,0.284,976,w09
eicu,random_gauss,1,12.5,krum,True,11,0.89887,0.5241,0.80952,0.29571,0.8810321428571426,,0,0.285,976,w09
eicu,random_gauss,1,12.5,krum,True,19,0.88676,0.52375,0.79595,0.27609,0.8812978571428571,,0,0.284,976,w09
eicu,random_gauss,1,12.5,krum,True,23,0.87232,0.44917,0.81161,0.29891,0.8616282142857142,,0,0.277,976,w09
eicu,random_gauss,1,12.5,krum,True,37,0.88668,0.52044,0.80743,0.29256,0.8818171428571427,,0,0.29,976,w09
eicu,random_gauss,1,12.5,clipping,True,7,0.86948,0.35985,0.79908,0.28044,0.8484639285714286,,0,0.284,976,w09
eicu,random_gauss,1,12.5,clipping,True,11,0.90597,0.53537,0.81474,0.30382,0.8909839285714286,,0,0.283,976,w09
eicu,random_gauss,1,12.5,clipping,True,19,0.89344,0.51605,0.81683,0.30717,0.8706542857142855,,0,0.313,976,w09
eicu,random_gauss,1,12.5,clipping,True,23,0.8699,0.42959,0.79073,0.26904,0.8421200000000001,,0,0.28,976,w09
eicu,random_gauss,1,12.5,clipping,True,37,0.87891,0.4262,0.80864,0.28432,0.8806232142857142,,0,0.288,976,w09
eicu,random_gauss,2,25.0,fedavg,True,7,0.86213,0.25752,0.75436,0.22272,0.8091571428571428,,0,0.294,976,w09
eicu,random_gauss,2,25.0,fedavg,True,11,0.88317,0.3851,0.78029,0.25566,0.8565114285714285,,0,0.29,976,w09
eicu,random_gauss,2,25.0,fedavg,True,19,0.82138,0.32358,0.74359,0.21827,0.7966489285714287,,0,0.31,976,w09
eicu,random_gauss,2,25.0,fedavg,True,23,0.681,0.23622,0.61002,0.09791,0.5437217857142856,,0,0.35,976,w09
eicu,random_gauss,2,25.0,fedavg,True,37,0.8142,0.33046,0.75699,0.24098,0.772295,,0,0.297,976,w09
eicu,random_gauss,2,25.0,coord_median,True,7,0.89027,0.49116,0.80326,0.2864,0.8787142857142858,,0,0.297,976,w09
eicu,random_gauss,2,25.0,coord_median,True,11,0.89294,0.48451,0.80117,0.2834,0.8807821428571428,,0,0.304,976,w09
eicu,random_gauss,2,25.0,coord_median,True,19,0.89829,0.53233,0.80639,0.291,0.8869664285714285,,0,0.307,976,w09
eicu,random_gauss,2,25.0,coord_median,True,23,0.89061,0.50012,0.81578,0.30549,0.8757739285714289,,0,0.284,976,w09
eicu,random_gauss,2,25.0,coord_median,True,37,0.89562,0.48898,0.80639,0.291,0.8850678571428572,,0,0.275,976,w09
eicu,random_gauss,2,25.0,trimmed_mean,True,7,0.89077,0.49455,0.8043,0.28792,0.8793682142857143,,0,0.274,976,w09
