alpha,seed,auroc,pr_auc,mcc,auc_lc
0.0,7,0.89052,0.48929,0.29571,0.8812307142857144
0.0,11,0.88994,0.48262,0.29413,0.8796935714285715
0.0,19,0.89102,0.48383,0.29571,0.8816789285714285
0.0,23,0.88835,0.47443,0.29413,0.8766903571428571
0.0,37,0.89203,0.49591,0.29413,0.8839792857142857
0.01,7,0.89127,0.48916,0.27406,0.8834242857142858
0.01,11,0.90038,0.50077,0.2973,0.8866410714285714
0.01,19,0.87382,0.44939,0.27183,0.8687478571428572
0.01,23,0.87106,0.42893,0.30382,0.8598742857142857
0.01,37,0.8896,0.5174,0.27898,0.8851185714285714
0.05,7,0.80927,0.22645,0.21481,0.8405417857142857
0.05,11,0.9033,0.36238,0.2609,0.8839275000000001
0.05,19,0.75449,0.20059,0.16852,0.7234885714285715
0.05,23,0.78096,0.27753,0.23539,0.7293235714285714
0.05,37,0.83198,0.34294,0.21727,0.8356932142857143
0.1,7,0.70338,0.15077,0.151,0.7662899999999999
0.1,11,0.88217,0.27946,0.26084,0.8622964285714289
0.1,19,0.65587,0.13801,0.0947,0.5883835714285713
0.1,23,0.71691,0.20217,0.17793,0.6345614285714287
0.1,37,0.76802,0.28521,0.20056,0.7733167857142856
0.2,7,0.64209,0.11711,0.09781,0.6963646428571428
0.2,11,0.8501,0.22147,0.22229,0.837485
0.2,19,0.56342,0.11078,0.06032,0.5034860714285714
0.2,23,0.64075,0.16129,0.10539,0.5505785714285715
0.2,37,0.71891,0.24373,0.17066,0.7307778571428571
