alpha,seed,auroc,pr_auc,mcc,auc_lc,run_id
0.0,7,0.89052,0.48929,0.29571,0.8812307142857144,w09
0.0,11,0.88994,0.48262,0.29413,0.8796935714285715,w09
0.0,19,0.89102,0.48383,0.29571,0.8816789285714285,w09
0.0,23,0.88835,0.47443,0.29413,0.8766903571428571,w09
0.0,37,0.89203,0.49591,0.29413,0.8839792857142857,w09
0.01,7,0.89186,0.4915,0.29256,0.8801107142857142,w09
0.01,11,0.88793,0.46741,0.28946,0.8793214285714287,w09
0.01,19,0.89203,0.48662,0.30382,0.8851553571428573,w09
0.01,23,0.88785,0.46636,0.2973,0.8781135714285714,w09
0.01,37,0.88835,0.47883,0.29891,0.8833967857142858,w09
0.05,7,0.89737,0.50458,0.30054,0.8685403571428572,w09
0.05,11,0.87165,0.4419,0.28192,0.8697342857142856,w09
0.05,19,0.88701,0.45312,0.27043,0.8884646428571429,w09
0.05,23,0.87223,0.41748,0.29413,0.8755075000000001,w09
0.05,37,0.87048,0.38877,0.28044,0.8715753571428572,w09
0.1,7,0.89628,0.488,0.30382,0.8438257142857142,w09
0.1,11,0.82973,0.32194,0.21603,0.836082142857143,w09
0.1,19,0.82914,0.36502,0.22297,0.8564385714285713,w09
0.1,23,0.81378,0.32617,0.23393,0.8496360714285714,w09
0.1,37,0.8314,0.28787,0.21727,0.8377032142857143,w09
0.2,7,0.88234,0.44527,0.26163,0.7848196428571429,w09
0.2,11,0.73261,0.23926,0.12505,0.7559232142857143,w09
0.2,19,0.73378,0.28413,0.12188,0.7801910714285715,w09
0.2,23,0.69286,0.19844,0.1534,0.7714049999999999,w09
0.2,37,0.74422,0.18099,0.11355,0.7617382142857144,w09
