dataset,attack,f,defense,seed,final_auroc,final_pr_auc,hon_norm_mean,mal_norm_mean,norm_ratio,cos_mal_hon,bsr
eicu,none,0,fedavg,7,0.8820876826722338,0.46120786556899596,0.048764135045534195,,,,
eicu,none,0,fedavg,11,0.8824217118997912,0.4684504963017814,0.04864022894233606,,,,
eicu,none,0,fedavg,19,0.8789979123173277,0.45138803902969044,0.048817278878423145,,,,
eicu,none,0,fedavg,23,0.8815031315240084,0.46317050774681284,0.048818187813684605,,,,
eicu,none,0,fedavg,37,0.8804175365344469,0.45026268610154874,0.048844886206812994,,,,
eicu,sign_flip,3,fedavg,7,0.8476826722338203,0.2925326345270253,0.07345930187307989,0.08661840824237234,1.216289830120217,-0.7547644695429621,
eicu,sign_flip,3,fedavg,11,0.8082672233820458,0.24239409673069184,0.07541044320721318,0.09546689120769568,1.3151175390306642,-0.739025989632458,
eicu,sign_flip,3,fedavg,19,0.8599582463465553,0.35933949243267876,0.07400073503887335,0.0910217302032371,1.271552799575615,-0.7198746429377986,
eicu,sign_flip,3,fedavg,23,0.7804592901878914,0.2990292294638438,0.07643895419165528,0.0863982635972589,1.172212004853645,-0.745332050161452,
eicu,sign_flip,3,fedavg,37,0.7856367432150314,0.18457593604162806,0.08429034128937493,0.10933889462173409,1.3283334093288375,-0.8024282916225477,
eicu,label_flip,3,fedavg,7,0.7398747390396659,0.2489083803894735,0.08824051075009041,0.13015580694419546,1.5011399343063627,-0.8437846230683641,
eicu,label_flip,3,fedavg,11,0.7428810020876827,0.16759277494222188,0.09157938350228376,0.13078310553825295,1.4456006337461182,-0.8688762757490053,
eicu,label_flip,3,fedavg,19,0.7996659707724426,0.20706499187078478,0.09132641022504188,0.13610657108805654,1.5099760216319913,-0.8564010876124897,
eicu,label_flip,3,fedavg,23,0.7299373695198329,0.30077030050316733,0.09547854256156554,0.13236591302842857,1.40388144741907,-0.8887979789992653,
eicu,label_flip,3,fedavg,37,0.7779540709812109,0.1571519187929397,0.09482432256370012,0.1289561877074393,1.371077835582092,-0.8859383407765945,
eicu,model_replace,3,fedavg,7,0.8660542797494781,0.3776632376086461,0.09987453896935525,0.15445875943420925,1.5486925999987227,-0.9299051451425737,
eicu,model_replace,3,fedavg,11,0.8617118997912318,0.36835374924820663,0.09908390012361126,0.15008001251715303,1.5167005296932239,-0.9306981761802068,
eicu,model_replace,3,fedavg,19,0.8653862212943633,0.3875799565590318,0.09832704431754215,0.14895297498145074,1.5166013897523583,-0.9287734749110135,
eicu,model_replace,3,fedavg,23,0.8619624217118999,0.38129751442821774,0.10169094972176657,0.1549924272688128,1.5223298501159086,-0.9294163293288149,
eicu,model_replace,3,fedavg,37,0.8643841336116911,0.3835764807042815,0.09950009256269271,0.14686168188675705,1.4728911954994826,-0.9310098531017464,
eicu,alie,3,fedavg,7,0.8774112734864301,0.4169005752854437,0.04783083612755619,0.04053875106498557,0.8210015045323071,0.6728482396238752,
eicu,alie,3,fedavg,11,0.8751565762004175,0.41567854332864423,0.04799242079489849,0.041848769284614985,0.8523606710536609,0.678223123535601,
eicu,alie,3,fedavg,19,0.8795824634655532,0.46205189792920887,0.04572752650819911,0.04031553140721469,0.8553024584188136,0.7456001777120025,
eicu,alie,3,fedavg,23,0.866304801670146,0.414909882084889,0.049598970399750225,0.042405537410235256,0.8330120454646193,0.6523827018648071,
eicu,alie,3,fedavg,37,0.8718162839248434,0.42765994372503957,0.048966719654543085,0.042887188661381685,0.8510903312241329,0.6797113204654966,
eicu,backdoor,3,fedavg,7,0.8808350730688935,0.4912112047427644,0.04868544759748124,0.05648588879524011,1.1927901573480626,0.43491714029416145,0.9246031746031746
eicu,backdoor,3,fedavg,11,0.8821711899791232,0.4931117607946403,0.048448953879263006,0.056422665697951624,1.1917441413903052,0.47560108752533636,0.9166666666666666
eicu,backdoor,3,fedavg,19,0.8778288100208769,0.4772482465089561,0.04628075249208062,0.05896955098314966,1.3146721600644813,0.443945327776526,0.9226190476190477
eicu,backdoor,3,fedavg,23,0.8792484342379958,0.4974164683900641,0.049585457016049876,0.05434906842035658,1.1213510058857652,0.47749279690037155,0.9246031746031746
eicu,backdoor,3,fedavg,37,0.8789144050104385,0.48280050500688615,0.04980884993737401,0.05346480327276703,1.080139303335663,0.4785366866041981,0.9186507936507936
cimas,none,0,fedavg,7,0.7911012882152348,0.7037672953864942,0.03150565447993155,,,,
cimas,model_replace,7,fedavg,7,0.7868372775117234,0.6967127254935347,0.04564022084858876,0.2616461517834265,5.816086180103417,-0.9094355670018301,
cimas,alie,7,fedavg,7,0.790225924504449,0.701943239970984,0.030210995727919077,0.031535880771925144,1.0245672696125647,0.9106296452887174,
cimas,backdoor,7,fedavg,7,0.7909954126908203,0.7054994637850471,0.030892998223999237,0.04109250674765022,1.4356505689953305,0.24464283988257945,0.43043478260869567
