trial,type,cos_raw,cos_clip,rmse_raw,rmse_clip
0,analytic_single_step,1.0,1.0,3.0470672162068925e-17,2.5082855773872834e-17
1,analytic_single_step,1.0,1.0,6.534022748476557e-17,7.930300671403379e-17
2,analytic_single_step,1.0000000000000002,1.0,3.041831555705957e-17,5.220351084520992e-17
3,analytic_single_step,1.0000000000000002,1.0,0.0,5.496683322407351e-17
4,analytic_single_step,0.9999999999999998,0.9999999999999998,1.9343009466929614e-17,2.7142844939537267e-17
5,analytic_single_step,1.0000000000000002,1.0000000000000002,4.2102945498461487e-17,2.4335984993258745e-16
6,analytic_single_step,0.9999999999999999,0.9999999999999999,3.623333801943142e-17,5.945713047353467e-17
7,analytic_single_step,0.9999999999999999,1.0,2.3101869574442105e-17,6.813621950850792e-17
8,analytic_single_step,0.9999999999999999,1.0,2.6091109963836317e-17,5.4145075309338974e-17
9,analytic_single_step,1.0,1.0000000000000002,5.822058658345462e-17,1.304877080071684e-16
10,analytic_single_step,1.0000000000000002,1.0,1.6051758711911877e-17,5.0921841676823625e-17
11,analytic_single_step,1.0000000000000002,1.0,0.0,9.844644881890452e-17
12,analytic_single_step,1.0,1.0,1.7951105389513383e-17,3.511212909799144e-17
13,analytic_single_step,1.0,1.0,7.283084549259683e-17,9.364938130551091e-17
14,analytic_single_step,0.9999999999999999,0.9999999999999999,4.006172263299091e-18,5.3210716298353106e-17
15,analytic_single_step,1.0000000000000002,1.0000000000000002,3.361367133633543e-17,6.103388672248085e-17
16,analytic_single_step,1.0000000000000002,1.0000000000000002,1.79846014946303e-17,2.9265854869146335e-17
17,analytic_single_step,1.0,1.0,2.3015069579267704e-17,5.5448322299744116e-17
18,analytic_single_step,0.9999999999999999,0.9999999999999999,1.4989724041661926e-17,6.152444998683598e-17
19,analytic_single_step,1.0000000000000002,1.0,1.6398260671257313e-17,3.9037863335141395e-17
