trial,batch_size,cos_multistep
0,1,-1.0000000000000002
1,4,-0.16359679810683989
2,16,0.28624939941008404
3,1,-1.0
4,4,-0.5027099513443979
5,16,-0.19801891310341857
6,1,-0.9999999999999998
7,4,-0.01941754411659086
8,16,-0.013668094253325314
9,1,-0.9999999999999998
10,4,-0.7851571708136259
11,16,-0.33262834327727525
12,1,-1.0
13,4,-0.6169274379258542
14,16,-0.6836113060064157
15,1,-1.0
16,4,-0.18078468337210057
17,16,-0.4766803579612547
18,1,-1.0000000000000004
19,4,-0.48934841656940437
20,16,-0.15517696740289139
21,1,-1.0
22,4,-0.9251288457940782
23,16,-0.17582828124631691
24,1,-1.0
25,4,-0.6968362095573032
26,16,-0.14844846541293905
27,1,-1.0000000000000004
28,4,-0.46584884858562425
29,16,0.3941240192302539
30,1,-1.0000000000000002
31,4,-0.8571156276356259
32,16,-0.023745352853293628
33,1,-1.0
34,4,-0.6970846095295875
35,16,-0.4448960576723626
36,1,-0.9999999999999998
37,4,0.20515988071396266
38,16,-0.1337709513618473
39,1,-0.9999999999999999
40,4,-0.2657273932226363
41,16,-0.6550381539450288
42,1,-0.9999999999999998
43,4,-0.4998408025163924
44,16,-0.24600226570057213
45,1,-1.0000000000000002
46,4,-0.8697290408955173
47,16,-0.23513027716972787
48,1,-1.0
49,4,-0.7090024684484402
50,16,-0.3618218702291549
51,1,-0.9999999999999998
52,4,-0.7203111743697942
53,16,-0.18630723566586088
54,1,-1.0000000000000002
55,4,-0.41583748696817296
56,16,-0.052884406658356295
57,1,-1.0
58,4,0.8141183716086637
59,16,0.4168262686359714
